Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
1,0.03873442068522792,0.011406096934543386,0.027328323750684537,0.050140517619771306,0.016378470693522884,0.06109037067693296,0.007367654115233609,0.07010118725522224,,,-0.20542584539182296,0.011406096934543386,-0.21683194232636635,-0.19401974845727957,-0.227781795383528,-0.18306989540011792,-0.23679261196181728,-0.17405907882182864,,,0.19957742522744876,0.0007837245924509278
2,0.06293215153946395,0.013643633385573825,0.049288518153890126,0.07657578492503778,0.036190630103739255,0.08967367297518865,0.025412159729135936,0.10045214334979197,-0.20542584539182296,-0.20542584539182296,-0.33079955155120017,0.013643633385573825,-0.344443184936774,-0.3171559181656263,-0.35754107298692483,-0.3040580301154755,-0.36831954336152817,-0.29327955974087216,-0.20542584539182296,-0.20542584539182296,0.2666286217247573,6.075375999756177e-06
3,0.0878519413779427,0.016657431281409472,0.07119451009653321,0.10450937265935217,0.05520337606638013,0.12050050668950527,0.042044005354066646,0.13365987740181873,-0.26811269847151153,-0.26811269847151153,-0.4603202298869363,0.016657431281409472,-0.4769776611683458,-0.4436627986055269,-0.4929687951984989,-0.42767166457537376,-0.5061281659108123,-0.41451229386306027,-0.26811269847151153,-0.26811269847151153,0.3015876792895922,2.6862754947650796e-07
4,0.1143324398069818,0.01984452999539994,0.09448790981158185,0.13417696980238172,0.07543716101599791,0.1532277185979657,0.05975998231963196,0.1689048972943316,-0.33218187560998647,-0.33218187560998647,-0.5973102307995424,0.01984452999539994,-0.6171547607949424,-0.5774657008041424,-0.6362055095905262,-0.5584149520085585,-0.6518826882868922,-0.5427377733121925,-0.33218187560998647,-0.33218187560998647,0.3265977346812861,2.2094891446865227e-08
5,0.13317494591666054,0.022438876832110675,0.11073606908454986,0.15561382274877122,0.08919474732572362,0.17715514450759745,0.07146803462835619,0.1948818572049649,-0.3984639644073754,-0.3984639644073754,-0.6938944453415219,0.022438876832110675,-0.7163333221736325,-0.6714555685094112,-0.7378746439324588,-0.649914246750585,-0.7556013566298263,-0.6321875340532175,-0.3984639644073754,-0.3984639644073754,0.33534641274349336,8.726923886283297e-09
6,0.14698803673234961,0.02464087277199122,0.1223471639603584,0.17162890950434084,0.09869192609924682,0.1952841473654524,0.07922563660937376,0.21475043685532547,-0.45755006059420467,-0.45755006059420467,-0.7620849680003756,0.02464087277199122,-0.7867258407723668,-0.7374440952283844,-0.8103810786334784,-0.7137888573672728,-0.8298473681233515,-0.6943225678773998,-0.45755006059420467,-0.45755006059420467,0.33685975079782104,7.409425320396658e-09
7,0.1637575915969452,0.02681513504887697,0.13694245654806822,0.19057272664582217,0.11119992690114633,0.21631525629274406,0.09001597021253353,0.23749921298135684,-0.5083058784952331,-0.5083058784952331,-0.849894619613982,0.02681513504887697,-0.876709754662859,-0.823079484565105,-0.9024522843097809,-0.7973369549181832,-0.9236362409983937,-0.7761529982295704,-0.5083058784952331,-0.5083058784952331,0.3439247004620331,3.4108277004615283e-09
8,0.17283848302259583,0.028017517580096376,0.14482096544249945,0.2008560006026922,0.11792414856560693,0.22775281747958473,0.09579030967733079,0.24988665636786087,-0.6157173408655932,-0.5571042700836258,-0.8965376475659907,0.028017517580096376,-0.9245551651460872,-0.8685201299858943,-0.9514519820229796,-0.8416233131090018,-0.9735858209112558,-0.8194894742207257,-0.6157173408655932,-0.5571042700836258,0.3469995140599243,2.4186476072249977e-09
9,0.18233102684711783,0.029402859130543697,0.15292816771657414,0.21173388597766152,0.12470142295125218,0.23996063074298346,0.10147316423812267,0.26318888945611296,-0.7100070235347249,-0.5995334422689216,-0.9435778135877824,0.029402859130543697,-0.9729806727183261,-0.9141749544572386,-1.001207417483648,-0.8859482096919167,-1.0244356761967774,-0.8627199509787872,-0.7100070235347249,-0.5995334422689216,0.3485906137687186,2.0215537183686612e-09
10,0.1961064062710483,0.030611327512088483,0.16549507875895983,0.22671773378313678,0.13610820434735488,0.25610460819474173,0.11192525561280497,0.28028755692929164,-0.7905499541515325,-0.6377605946376839,-1.0168827850372828,0.030611327512088483,-1.0474941125493713,-0.9862714575251943,-1.0768809869609761,-0.9568845831135894,-1.101063935695526,-0.9327016343790395,-0.7905499541515325,-0.6377605946376839,0.35866275874294806,6.345136991183987e-10
11,0.2055933639615294,0.03172427993877176,0.17386908402275764,0.2373176439003012,0.14341377528153676,0.26777295264152207,0.11835159412990706,0.29283513379315174,-0.860478713191156,-0.6756728136776438,-1.0657872922918743,0.03172427993877176,-1.097511572230646,-1.0340630123531025,-1.127966880971867,-1.0036077036118816,-1.1530290621234967,-0.978545522460252,-0.860478713191156,-0.6756728136776438,0.3622791094522076,4.1438684732246623e-10
12,0.21466486744200383,0.03265008408997365,0.1820147833520302,0.24731495153197747,0.15067070262565546,0.2786590322583522,0.1248771361945763,0.30445259868943136,-0.922460854349548,-0.7111377662789375,-1.1132295659649505,0.03265008408997365,-1.1458796500549242,-1.0805794818749768,-1.177223730781299,-1.049235401148602,-1.203017297212378,-1.023441834717523,-0.922460854349548,-0.7111377662789375,0.366835000510734,2.404252158829878e-10
13,0.22383661444393635,0.03344986554922265,0.1903867488947137,0.257286479993159,0.15827487796745995,0.2893983509204128,0.13184948418357406,0.31582374470429864,-0.9809849540103105,-0.7446454162527719,-1.1625725498129504,0.03344986554922265,-1.196022415362173,-1.1291226842637279,-1.228134286289427,-1.097010813336474,-1.2545596800733128,-1.0705854195525881,-0.9809849540103105,-0.7446454162527719,0.37246389247184536,1.2125626183627625e-10
14,0.22932323605938068,0.03430326178869349,0.19501997427068718,0.2636264978480742,0.16208884295354145,0.2965576291652199,0.13498926614047357,0.3236572059782878,-1.0330979423768052,-0.7767936572958625,-1.1893406380013385,0.03430326178869349,-1.223643899790032,-1.155037376212645,-1.2565750311071777,-1.1221062448954993,-1.2836746079202457,-1.0950066680824313,-1.0330979423768052,-0.7767936572958625,0.3721507138035153,1.260071490982008e-10
