Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
1,7.3578118425450356e-09,1.699824700477306e-08,-9.640435162228025e-09,2.4356058847318095e-08,-2.595875228681016e-08,4.0674375971900236e-08,-3.938736742058088e-08,5.410299110567095e-08,,,1.7828426293053623,1.699824700477306e-08,1.7828426123071153,1.7828426463036093,1.7828425959887981,1.7828426626219265,1.782842582560183,1.7828426760505416,,,0.025952299305817883,0.6654542116384419
2,8.422011208394918e-09,1.7058638398439624e-08,-8.636627190044706e-09,2.5480649606834543e-08,-2.5012920052546746e-08,4.185694246933658e-08,-3.8489244387314054e-08,5.5333266804103883e-08,1.7828426293053623,1.7828426293053623,2.110126527722225,1.7058638398439624e-08,2.1101265106635867,2.1101265447808637,2.110126494287294,2.1101265611571565,2.1101264808109694,2.110126574633481,1.7828426293053623,1.7828426293053623,0.02959775313653463,0.6219012053291597
3,1.2175118636338873e-08,2.1234483749515177e-08,-9.059365113176305e-09,3.340960238585405e-08,-2.9444469512710872e-08,5.379470678538862e-08,-4.6219711674827864e-08,7.056994894750561e-08,1.9464845785137936,1.9464845785137936,3.0298230635581533,2.1234483749515177e-08,3.0298230423236694,3.0298230847926373,3.029823021938565,3.0298231051777416,3.029823005163323,3.0298231219529836,1.9464845785137936,1.9464845785137936,0.03436785773000965,0.5668608143892823
4,1.8496758143719123e-08,2.9551103692545583e-08,-1.105434554882646e-08,4.80478618362647e-08,-3.942340509367022e-08,7.641692138110847e-08,-6.276877701078123e-08,9.976229329821949e-08,2.307597406861914,2.307597406861914,4.613166849731935,2.9551103692545583e-08,4.613166820180831,4.613166879283039,4.613166791811772,4.613166907652098,4.6131667684664,4.61316693099747,2.307597406861914,2.307597406861914,0.03751402876685153,0.5318780468621273
5,2.840414457677707e-08,4.1293052586554455e-08,-1.2888908009777385e-08,6.969719716333153e-08,-5.253023849286966e-08,1.093385276464238e-07,-8.515175003624769e-08,1.4196003918980184e-07,2.8839897675794193,2.8839897675794193,6.7744743467022275,4.1293052586554455e-08,6.774474305409175,6.77447438799528,6.774474265767845,6.77447442763661,6.774474233146333,6.774474460258122,2.8839897675794193,2.8839897675794193,0.04122048074459671,0.49210981376808927
6,3.911109937181026e-08,5.563462398117443e-08,-1.6523524609364168e-08,9.47457233529847e-08,-6.993276363129161e-08,1.4815496237491215e-07,-1.1388411657641942e-07,1.9210631532003993e-07,3.662086683403981,3.662086683403981,9.363347815345728,5.563462398117443e-08,9.363347759711104,9.363347870980352,9.363347706301864,9.363347924389592,9.363347662350511,9.363347968340944,3.662086683403981,3.662086683403981,0.04212566627836975,0.48264449672305865
7,7.34501319098264e-08,1.3656503886361125e-07,-6.311490695378485e-08,2.1001517077343764e-07,-1.9421734426285166e-07,3.4111760808250443e-07,-3.0210372496510457e-07,4.490039887847573e-07,4.612296872060939,4.612296872060939,17.867731582681397,1.3656503886361125e-07,17.86773144611636,17.867731719246436,17.86773131501392,17.867731850348875,17.86773120712754,17.867731958235254,4.612296872060939,4.612296872060939,0.03224072618743174,0.5911178533360905
8,8.369144185842369e-08,1.3738432509368983e-07,-5.369288323526614e-08,2.2107576695211354e-07,-1.8558183532520838e-07,3.529647190420558e-07,-2.9411545214922334e-07,4.6149833586607075e-07,7.293111697623611,6.505930402149575,19.683955676845173,1.3738432509368983e-07,19.683955539460847,19.6839558142295,19.683955407571897,19.68395594611845,19.683955299038278,19.683956054652068,7.293111697623611,6.505930402149575,0.03651167818157645,0.5429042840733647
9,1.1315106136100101e-07,1.8932637150156985e-07,-7.617531014056884e-08,3.0247743286257086e-07,-2.5792862678207587e-07,4.842307495040779e-07,-4.0749646026831604e-07,6.33798582990318e-07,10.222083222477435,8.153183561486525,26.243101566600618,1.8932637150156985e-07,26.243101377274247,26.24310175592699,26.24310119552093,26.243101937680308,26.243101045953097,26.24310208724814,10.222083222477435,8.153183561486525,0.03582170898100941,0.5505594586293932
10,1.372151888985513e-07,2.2445891590437353e-07,-8.724372700582221e-08,3.616741048029248e-07,-3.027242862740208e-07,5.771546640711235e-07,-4.800468298384758e-07,7.544772076355785e-07,14.090962972984514,10.163174450943647,31.603632410209627,2.2445891590437353e-07,31.603632185750712,31.603632634668543,31.60363197027015,31.603632850149104,31.60363179294761,31.603633027471645,14.090962972984514,10.163174450943647,0.03663964193129161,0.5414903520956267
