Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
1,0.03873442068522792,0.011406096934543386,0.027328323750684537,0.050140517619771306,0.016378470693522884,0.06109037067693296,0.007367654115233609,0.07010118725522224,,,-0.20542584539182296,0.011406096934543386,-0.21683194232636635,-0.19401974845727957,-0.227781795383528,-0.18306989540011792,-0.23679261196181728,-0.17405907882182864,,,0.19957742522744876,0.0007837245924509278
2,0.033972137774445355,0.007988013051779284,0.02598412472266607,0.04196015082622464,0.018315632192957957,0.049628643355932756,0.012005101882052324,0.055939173666838385,-0.20542584539182296,-0.20542584539182296,-0.17925218206339674,0.007988013051779284,-0.18724019511517603,-0.17126416901161745,-0.19490868764488414,-0.16359567648190934,-0.2012192179557898,-0.1572851461710037,-0.20542584539182296,-0.20542584539182296,0.24715783917492296,2.885647635821299e-05
3,0.05445464840087854,0.012326116215334852,0.04212853218554369,0.06678076461621339,0.03029546061882223,0.07861383618293485,0.020557828808707698,0.08835146799304938,-0.19233901372760986,-0.19233901372760986,-0.2879534844769537,0.012326116215334852,-0.30027960069228854,-0.2756273682616188,-0.31211267225901,-0.26379429669489735,-0.3218503040691245,-0.25405666488478285,-0.19233901372760986,-0.19233901372760986,0.25612540891065577,1.4298789277440512e-05
4,0.07141711043000692,0.015000491504268253,0.05641661892573867,0.08641760193427518,0.04201614708164115,0.10081807377837271,0.03016575879326923,0.11266846206674462,-0.22421050397739115,-0.22421050397739115,-0.3769736453252829,0.015000491504268253,-0.3919741368295511,-0.36197315382101464,-0.40637460867364866,-0.3475726819769171,-0.4182249969620206,-0.33572229368854517,-0.22421050397739115,-0.22421050397739115,0.27457052925705205,3.1037361463494245e-06
5,0.08339011288973928,0.0163730933400284,0.06701701954971089,0.09976320622976768,0.051298849943283625,0.11548137583619494,0.038364106204661186,0.12841611957481738,-0.2624012893143641,-0.2624012893143641,-0.4405169548308911,0.0163730933400284,-0.4568900481709195,-0.4241438614908627,-0.47260821777734674,-0.40842569188443545,-0.4855429615159692,-0.395490948145813,-0.2624012893143641,-0.2624012893143641,0.29213930630727786,6.507275837030686e-07
6,0.08834519357384053,0.017497483727377777,0.07084770984646276,0.10584267730121831,0.05405012546818009,0.12264026167950098,0.040227113323551646,0.13646327382412943,-0.29802442241766947,-0.29802442241766947,-0.46376243271918166,0.017497483727377777,-0.4812599164465594,-0.4462649489918039,-0.4980575008248421,-0.4294673646135212,-0.5118805129694706,-0.41564435246889275,-0.29802442241766947,-0.29802442241766947,0.2898232706881621,8.04452514408213e-07
7,0.10345601421334667,0.01918901151500357,0.0842670026983431,0.12264502572835025,0.06584555164393968,0.14106647678275366,0.05068623254708685,0.1562257958796065,-0.3256474241345882,-0.3256474241345882,-0.5475965715152403,0.01918901151500357,-0.5667855830302438,-0.5284075600002368,-0.5852070340846474,-0.5099861089458333,-0.6003663531815001,-0.4948267898489805,-0.3256474241345882,-0.3256474241345882,0.30767079869823893,1.4942808640864874e-07
8,0.07842070464670445,0.01649319561774398,0.061927509028960465,0.09491390026444843,0.046094041235926246,0.11074736805748264,0.0330644166979085,0.1237769925955004,-0.3826758784884911,-0.35735444518896703,-0.41579745149923875,0.01649319561774398,-0.43229064711698273,-0.39930425588149476,-0.44812411491001697,-0.3834707880884605,-0.46115373944803467,-0.3704411635504428,-0.3826758784884911,-0.35735444518896703,0.2742370004110411,3.1938939418910206e-06
9,0.10121514941119424,0.019778000345006538,0.0814371490661877,0.12099314975620078,0.06245026873498142,0.13998003008740706,0.046825648462426255,0.1556046503599622,-0.4221000900611314,-0.364659820977751,-0.5354336854225363,0.019778000345006538,-0.5552116857675429,-0.5156556850775298,-0.5741985660987492,-0.4966688047463235,-0.5898231863713043,-0.48104418447376834,-0.4221000900611314,-0.364659820977751,0.29342091751171184,5.782056632043374e-07
10,0.11473447003043298,0.020349301812145896,0.09438516821828709,0.1350837718425789,0.07484983847862703,0.15461910158223893,0.05877389004703177,0.1706950500138342,-0.4633467902187285,-0.3836346948049494,-0.609298588774146,0.020349301812145896,-0.6296478905862919,-0.5889492869620001,-0.649183220325952,-0.56941395722234,-0.6652591687575472,-0.5533380087907448,-0.4633467902187285,-0.3836346948049494,0.32033972032474944,4.218461629257792e-08
