Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
1,7.3578118425450356e-09,1.699824700477306e-08,-9.640435162228025e-09,2.4356058847318095e-08,-2.595875228681016e-08,4.0674375971900236e-08,-3.938736742058088e-08,5.410299110567095e-08,,,1.7828426293053623,1.699824700477306e-08,1.7828426123071153,1.7828426463036093,1.7828425959887981,1.7828426626219265,1.782842582560183,1.7828426760505416,,,0.025952299305817883,0.6654542116384419
2,1.0641993658498742e-09,9.620918086907337e-10,1.0210755715914048e-10,2.026291174540608e-09,-8.21500579183964e-10,2.9498993108837126e-09,-1.5815531080496433e-09,3.709951839749392e-09,1.7828426293053623,1.7828426293053623,0.3272838984168631,9.620918086907337e-10,0.3272838974547713,0.3272838993789549,0.3272838965311632,0.32728390030256305,0.32728389577111067,0.32728390106261557,1.7828426293053623,1.7828426293053623,0.06619580619366652,0.26962619749426103
3,3.7531074279439404e-09,4.346350446470729e-09,-5.93243018526789e-10,8.099457874414669e-09,-4.765739447138689e-09,1.227195430302657e-08,-8.199356299850567e-09,1.5705571155738446e-08,1.0550632638611126,1.0550632638611126,0.9196965358359286,4.346350446470729e-09,0.9196965314895781,0.9196965401822791,0.9196965273170817,0.9196965443547754,0.9196965238834649,0.9196965477883923,1.0550632638611126,1.0550632638611126,0.051720439794365275,0.388602719752031
4,6.321639507380257e-09,8.43753717822152e-09,-2.1158976708412624e-09,1.4759176685601777e-08,-1.021593336193392e-08,2.2859212376694432e-08,-1.6881587732728924e-08,2.9524866747489435e-08,1.0099410211860513,1.0099410211860513,1.5833437861737811,8.43753717822152e-09,1.583343777736244,1.5833437946113182,1.5833437696362083,1.583343802711354,1.5833437629705538,1.5833438093770085,1.0099410211860513,1.0099410211860513,0.04489041325536948,0.4543532585814798
5,9.907386433057904e-09,1.1852509156422743e-08,-1.9451227233648393e-09,2.175989558948065e-08,-1.3323531513530672e-08,3.313830437964648e-08,-2.2687013747104643e-08,4.250178661322045e-08,1.1532917124329838,1.1532917124329838,2.161307496970294,1.1852509156422743e-08,2.161307485117785,2.1613075088228033,2.161307473739376,2.161307520201212,2.161307464375894,2.161307529564694,1.1532917124329838,1.1532917124329838,0.05007043024417224,0.40393500132690374
6,1.0706954795033219e-08,1.4413658226871226e-08,-3.7067034318380075e-09,2.5120613021904447e-08,-1.7543815329634385e-08,3.895772491970082e-08,-2.8930605328862652e-08,5.034451491892909e-08,1.354894869340446,1.354894869340446,2.5888734686435004,1.4413658226871226e-08,2.588873454229842,2.5888734830571587,2.5888734403927303,2.5888734968942706,2.58887342900594,2.5888735082810608,1.354894869340446,1.354894869340446,0.0445080700322073,0.4582094487586268
7,3.433903253801597e-08,8.146973447871448e-08,-4.7130701940698507e-08,1.1580876701673044e-07,-1.253416470402644e-07,1.9401971211629633e-07,-1.8970273727844883e-07,2.5838080235448076e-07,1.5605579692242884,1.5605579692242884,8.504383767335675,8.146973447871448e-08,8.50438368586594,8.504383848805409,8.504383607654995,8.504383927016354,8.504383543293905,8.504383991377445,1.5605579692242884,1.5605579692242884,0.025271477372673185,0.6737198557801405
8,1.0241309948597486e-08,6.927410778571203e-09,3.3138991700262834e-09,1.716872072716869e-08,-3.3364151774020718e-09,2.3819035074597045e-08,-8.809069692473322e-09,2.9291689589668295e-08,2.680814825562674,2.5525330832402005,1.816224094163768,6.927410778571203e-09,1.816224087236357,1.8162241010911788,1.8162240805860428,1.8162241077414931,1.8162240751133882,1.8162241132141477,2.680814825562674,2.5525330832402005,0.08832053060125554,0.14043957299181842
9,2.9459619502577376e-08,5.200278507741796e-08,-2.2543165574840582e-08,8.146240457999533e-08,-7.246583924916183e-08,1.3138507825431659e-07,-1.1354803946032202e-07,1.7246727846547677e-07,2.9289715248538246,2.4604944596056466,6.559145889755445,5.200278507741796e-08,6.55914583775266,6.5591459417582305,6.559145787829986,6.5591459916809045,6.559145746747786,6.559146032763104,2.9289715248538246,2.4604944596056466,0.033956866063213687,0.5715104412299306
10,2.4064127537550435e-08,3.521863383971135e-08,-1.1154506302160916e-08,5.9282761377261787e-08,-4.496439478828382e-08,9.309264986338469e-08,-7.278711552165578e-08,1.2091537059675667e-07,3.868879750507077,2.9159001740667354,5.360530843609006,3.521863383971135e-08,5.360530808390371,5.36053087882764,5.360530774580483,5.360530912637528,5.360530746757762,5.360530940460249,3.868879750507077,2.9159001740667354,0.04094594033700197,0.4950000703544306
11,2.8597870682480714e-08,5.182083829295673e-08,-2.3222967610476013e-08,8.041870897543744e-08,-7.297097237171447e-08,1.301667137366759e-07,-1.1390943462315028e-07,1.711051759881117e-07,4.498410926746281,3.1603632410209626,6.736895985667923,5.182083829295673e-08,6.736895933847085,6.736896037488761,6.73689588409908,6.736896087236766,6.736895843160617,6.736896128175228,4.498410926746281,3.1603632410209626,0.0330802749444267,0.581487314807845
