Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
1,0.03873442068522792,0.011406096934543386,0.027328323750684537,0.050140517619771306,0.016378470693522884,0.06109037067693296,0.007367654115233609,0.07010118725522224,,,-0.20542584539182296,0.011406096934543386,-0.21683194232636635,-0.19401974845727957,-0.227781795383528,-0.18306989540011792,-0.23679261196181728,-0.17405907882182864,,,0.19957742522744876,0.0007837245924509278
2,0.009512136495854,0.0036375411482783833,0.005874595347575616,0.013149677644132383,0.002382555845228368,0.01664171714647963,-0.0004911016619115541,0.019515374653619553,-0.20542584539182296,-0.20542584539182296,-0.04898592592666408,0.0036375411482783833,-0.05262346707494246,-0.045348384778385695,-0.05611550657728971,-0.041856345276038445,-0.058989164084429634,-0.03898268776889852,-0.20542584539182296,-0.20542584539182296,0.15494267882781645,0.009409963723778565
3,0.04783237716854089,0.012575246291388039,0.035257130877152855,0.06040762345992893,0.023184894437420337,0.07247985989966145,0.013250449867223783,0.08241430446985801,-0.1272058856592435,-0.1272058856592435,-0.25394217261401325,0.012575246291388039,-0.2665174189054013,-0.2413669263226252,-0.2785896553451338,-0.2292946898828927,-0.28852409991533035,-0.21936024531269616,-0.1272058856592435,-0.1272058856592435,0.22241610321643496,0.0001752962989779725
4,0.03746489076570952,0.009461129042756982,0.028003761722952533,0.0469260198084665,0.01892107784190583,0.0560087036895132,0.011446785898127816,0.06348299563329121,-0.16945131464416674,-0.16945131464416674,-0.19407615175604673,0.009461129042756982,-0.2035372807988037,-0.18461502271328975,-0.21261996467985042,-0.17553233883224303,-0.22009425662362841,-0.16805804688846504,-0.16945131464416674,-0.16945131464416674,0.2310701607289196,9.53281633196751e-05
5,0.034414198893711924,0.010159940715757454,0.02425425817795447,0.044574139609469376,0.014500715090827315,0.05432768269659653,0.006474361925378924,0.062354035862044924,-0.17560752392213674,-0.17560752392213674,-0.17858407206339807,0.010159940715757454,-0.18874401277915553,-0.16842413134764062,-0.19849755586628268,-0.15867058826051347,-0.20652390903173107,-0.15064423509506508,-0.17560752392213674,-0.17560752392213674,0.19908665176040263,0.0008079653514750314
6,0.0278602869471007,0.009615436040535877,0.018244850906564823,0.03747572298763658,0.009014032307650383,0.04670654158655102,0.0014178378356270414,0.05430273605857436,-0.17620283355038902,-0.17620283355038902,-0.13763889650154906,0.009615436040535877,-0.14725433254208495,-0.12802346046101318,-0.15648515114099937,-0.11879264186209874,-0.16408134561302273,-0.1111964473900754,-0.17620283355038902,-0.17620283355038902,0.17121180375203185,0.004061419316960073
7,0.05139681897125367,0.014142710746391507,0.037254108224862165,0.06553952971764518,0.023677105908326317,0.07911653203418102,0.012504364418677028,0.09028927352383032,-0.1697755107089157,-0.1697755107089157,-0.273579400768892,0.014142710746391507,-0.2877221115152835,-0.25943669002250047,-0.30129911383181934,-0.2458596877059646,-0.3124718553214686,-0.23468694621631533,-0.1697755107089157,-0.1697755107089157,0.21296224126148533,0.00033213504370235765
8,0.03074385928728156,0.010487782070134942,0.020256077217146617,0.041231641357416506,0.010187806429817075,0.05129991214474605,0.0019024585944104715,0.059585259980152655,-0.18113443660509385,-0.1846046378603409,-0.15701103503451705,0.010487782070134942,-0.167498817104652,-0.1465232529643821,-0.17756708789198153,-0.13645498217705257,-0.18585243572738813,-0.12816963434164597,-0.18113443660509385,-0.1846046378603409,0.17315772463320103,0.0036548730198781723
9,0.06251467423500902,0.016704750881803853,0.04580992335320516,0.07921942511681287,0.029773362506673465,0.09525598596334457,0.016576609310048424,0.10845273915996961,-0.1991386214564027,-0.18115543750711288,-0.3253750871217279,0.016704750881803853,-0.34207983800353176,-0.30867033623992407,-0.35811639885006347,-0.29263377539339236,-0.3713131520466885,-0.2794370221967673,-0.1991386214564027,-0.18115543750711288,0.21900135669862114,0.00022150934089946588
10,0.041760649922525435,0.011021093394244837,0.030739556528280598,0.05278174331677027,0.020159306869805556,0.06336199297524531,0.011452643088352133,0.07206865675669874,-0.21104410720768849,-0.19717984301984787,-0.21608873231683642,0.011021093394244837,-0.22710982571108126,-0.20506763892259158,-0.2376900753695563,-0.19448738926411654,-0.24639673915100974,-0.1857807254826631,-0.21104410720768849,-0.19717984301984787,0.22160792723673514,0.00018533777705133088
11,0.042219468504309875,0.01316353143072388,0.029055937073585995,0.055382999935033754,0.01641894690009107,0.06801999010852867,0.0060197570698192066,0.07841917993880054,-0.21471287063448674,-0.19907073194954672,-0.21698784667393664,0.01316353143072388,-0.23015137810466052,-0.20382431524321276,-0.24278836827815545,-0.19118732506971783,-0.2531875581084273,-0.18078813523944598,-0.21471287063448674,-0.19907073194954672,0.188898261576355,0.0014964667438370281
12,0.056176674829226066,0.014763211372708722,0.04141346345651734,0.07093988620193478,0.027240780538716973,0.08511256911973517,0.015577843554277084,0.09677550610417504,-0.22111349973624317,-0.2006995605608549,-0.3000422541664173,0.014763211372708722,-0.314805465539126,-0.2852790427937086,-0.32897814845692636,-0.2711063598759082,-0.3406410854413663,-0.25944342289146827,-0.22111349973624317,-0.2006995605608549,0.22249873917010798,0.00017429874900013733
13,0.044999437687973744,0.011496802671899325,0.03350263501607442,0.056496240359873065,0.022465704451051068,0.06753317092489641,0.013383230340250601,0.07661564503569689,-0.2481807260137212,-0.2089781183613184,-0.2331454638743631,0.011496802671899325,-0.24464226654626242,-0.2216486612024638,-0.2556791971112858,-0.21061173063744043,-0.26476167122208627,-0.20152925652663997,-0.2481807260137212,-0.2089781183613184,0.22853837690173645,0.00011419943533980425
14,0.052893270057181356,0.014947985391585603,0.037945284665595755,0.06784125544876696,0.023595218689673576,0.08219132142468913,0.011786310230320951,0.09400022988404176,-0.24144173653129974,-0.21083714493924494,-0.27571243374592874,0.014947985391585603,-0.29066041913751434,-0.26076444835434315,-0.30501048511343654,-0.24641438237842095,-0.31681939357278915,-0.23460547391906833,-0.24144173653129974,-0.21083714493924494,0.20760081935152322,0.00047148416840044006
15,0.029492826952937267,0.009293887511346759,0.020198939441590506,0.03878671446428403,0.01127680743069762,0.04770884647517691,0.003934636296733681,0.055051017609140857,-0.2612253029832017,-0.21624380558186848,-0.15319124407380122,0.009293887511346759,-0.162485131585148,-0.14389735656245445,-0.17140726359604086,-0.13497522455156158,-0.17874943473000482,-0.12763305341759762,-0.2612253029832017,-0.21624380558186848,0.18696909499145004,0.001675967170756595
16,0.043380920825069946,0.011643092925598017,0.03173782789947193,0.05502401375066796,0.020560458690897832,0.06620138295924206,0.011362415279675402,0.07539942637046448,-0.23252799580854722,-0.22425959928549444,-0.2250111828166173,0.011643092925598017,-0.23665427574221531,-0.2133680898910193,-0.2478316449507894,-0.2021907206824452,-0.25702968836201184,-0.19299267727122277,-0.23252799580854722,-0.22425959928549444,0.21808537256180507,0.0002357145067869095
17,0.041572037653236464,0.013821488470372614,0.02775054918286385,0.05539352612360908,0.014481920251306141,0.06866215505516679,0.0035629443597117727,0.07958113094676116,-0.23401507089184403,-0.2220341385318486,-0.21057173110911265,0.013821488470372614,-0.22439321957948527,-0.19675024263874002,-0.23766184851104297,-0.18348161370718233,-0.24858082440263735,-0.17256263781558795,-0.23401507089184403,-0.2220341385318486,0.17752935401107964,0.002872523142851268
18,0.03687795424275367,0.009921955087480333,0.026955999155273337,0.046799909330234,0.017430922271292216,0.056324986214215125,0.009592577752182752,0.06416333073332459,-0.23294571829770672,-0.2233030292513152,-0.1944410929368374,0.009921955087480333,-0.20436304802431773,-0.18451913784935706,-0.21388812490829884,-0.17499406096537595,-0.2217264694274083,-0.16715571644626648,-0.23294571829770672,-0.2233030292513152,0.2175785292219646,0.0002439355848584753
19,0.04551173275799231,0.014035558778226646,0.03147617397976566,0.05954729153621895,0.01800203755266808,0.07302142796331654,0.006913946117869031,0.08410951939811559,-0.21534552475944344,-0.2245228000877336,-0.2356080179020904,0.014035558778226646,-0.24964357668031706,-0.22157245912386375,-0.2631177131074146,-0.20809832269676617,-0.27420580454221366,-0.19701023126196712,-0.21534552475944344,-0.2245228000877336,0.19090173027269278,0.0013288481224388482
20,0.04357092777690529,0.010052724465915257,0.033518203310990036,0.05362365224282055,0.02386758782371139,0.0632742677300992,0.015925935495638338,0.07121592005817225,-0.21575595043073129,-0.23205888634931368,-0.2275461353619218,0.010052724465915257,-0.23759885982783707,-0.21749341089600654,-0.2472494753151157,-0.2078427954087279,-0.25519112764318874,-0.19990114308065485,-0.21575595043073129,-0.23205888634931368,0.2515889627824677,2.0463511903306714e-05
21,0.036436510128703324,0.00978787475701601,0.026648635371687317,0.04622438488571933,0.017252275604951947,0.0556207446524547,0.0095198545469093,0.06335316571049734,-0.2077282340333968,-0.2285178659333929,-0.19131276231700467,0.00978787475701601,-0.20110063707402068,-0.18152488755998866,-0.21049699684075604,-0.1721285277932533,-0.21822941789879868,-0.16439610673521066,-0.2077282340333968,-0.2285178659333929,0.21790272417900552,0.00023864682393190208
22,0.037107619512280934,0.010323719213315046,0.026783900298965886,0.04743133872559598,0.016873129854183443,0.05734210917037842,0.008717391675664557,0.06549784734889731,-0.214081820407264,-0.2311564603397381,-0.19473520368893563,0.010323719213315046,-0.20505892290225067,-0.18441148447562059,-0.21496969334703311,-0.17450071403083814,-0.223125431525552,-0.16634497585231925,-0.214081820407264,-0.2311564603397381,0.21073676764857904,0.00038452935084563075
23,0.04661902060838525,0.015255805172511447,0.0313632154358738,0.061874825780896696,0.016717642470262813,0.07652039874650768,0.004665556383978774,0.08857248483279173,-0.20903582388598374,-0.22110723853721564,-0.24476287617582904,0.015255805172511447,-0.2600186813483405,-0.22950707100331758,-0.2746642543139515,-0.2148614980377066,-0.2867163404002355,-0.20280941195142255,-0.20903582388598374,-0.22110723853721564,0.1802733147551162,0.002462592873047583
24,0.03185508613011789,0.009304617963457126,0.022550468166660766,0.04115970409357502,0.013618034921741927,0.05009213733849386,0.006267386730610797,0.05744278552962499,-0.21473434806376987,-0.22331294191098428,-0.16616528100618216,0.009304617963457126,-0.1754698989696393,-0.15686066304272503,-0.18440233221455812,-0.1479282297978062,-0.19175298040568925,-0.14057758160667508,-0.21473434806376987,-0.22331294191098428,0.2011362433355505,0.0007111122777049606
25,0.03342799078648975,0.013329687390819009,0.020098303395670744,0.04675767817730876,0.007301803500484497,0.05955417807249501,-0.003228649538262518,0.07008463111124202,-0.21002171274199397,-0.2194035137826955,-0.17514102517748031,0.013329687390819009,-0.18847071256829934,-0.1618113377866613,-0.20126721246348556,-0.14901483789147507,-0.21179766550223258,-0.13848438485272804,-0.21002171274199397,-0.2194035137826955,0.14873401177726403,0.012719211153426765
