Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
1,7.3578118425450356e-09,1.699824700477306e-08,-9.640435162228025e-09,2.4356058847318095e-08,-2.595875228681016e-08,4.0674375971900236e-08,-3.938736742058088e-08,5.410299110567095e-08,,,1.7828426293053623,1.699824700477306e-08,1.7828426123071153,1.7828426463036093,1.7828425959887981,1.7828426626219265,1.782842582560183,1.7828426760505416,,,0.025952299305817883,0.6654542116384419
2,-1.3651424319240212e-08,3.39768300660797e-08,-4.762825438531991e-08,2.032540574683949e-08,-8.024601124875643e-08,5.2943162610276e-08,-1.0708770700095939e-07,7.978485836247896e-08,1.7828426293053623,1.7828426293053623,-3.238401360193861,3.39768300660797e-08,-3.2384013941706913,-3.238401326217031,-3.238401426788448,-3.2384012935992743,-3.2384014536301438,-3.2384012667575783,1.7828426293053623,1.7828426293053623,-0.024090546423146567,0.6881500233847768
3,8.98252053878925e-09,2.104774767921567e-08,-1.206522714042642e-08,3.003026821800492e-08,-3.227106491247346e-08,5.023610599005196e-08,-4.889878557905384e-08,6.686382665663234e-08,-0.7277793654442494,-0.7277793654442494,2.047971368307564,2.104774767921567e-08,2.0479713472598164,2.0479713893553115,2.0479713270539786,2.0479714095611494,2.047971310426258,2.04797142618887,-0.7277793654442494,-0.7277793654442494,0.025587507021855353,0.6698780906949277
4,-1.2037598265775554e-10,2.127372096158791e-09,-2.2477480788165464e-09,2.0069961135010354e-09,-4.290025291128986e-09,4.0492733258134745e-09,-5.970649247094431e-09,5.7298972817789194e-09,0.19747087913968842,0.19747087913968842,0.07123461291878724,2.127372096158791e-09,0.07123461079141515,0.07123461504615934,0.07123460874913794,0.07123461708843655,0.07123460706851398,0.07123461876906051,0.19747087913968842,0.19747087913968842,-0.0033936846808474324,0.9549169426591844
5,1.0172148462413558e-09,3.0292406393886504e-09,-2.0120257931472946e-09,4.0464554856300066e-09,-4.920096806960399e-09,6.95452649944311e-09,-7.313196912077433e-09,9.347626604560145e-09,0.16591181258446314,0.16591181258446314,-0.08568353954134082,3.0292406393886504e-09,-0.08568354257058146,-0.08568353651210019,-0.08568354547865248,-0.08568353360402917,-0.08568354787175259,-0.08568353121092906,0.16591181258446314,0.16591181258446314,0.020135779995091283,0.7372760147603503
6,-2.7861785637023866e-09,3.1314906279300012e-09,-5.917669191632387e-09,3.4531206422761464e-10,-8.92390019444519e-09,3.351543067040416e-09,-1.139777779050989e-08,5.825420663105117e-09,0.11559274215930235,0.11559274215930235,-0.15039773912330429,3.1314906279300012e-09,-0.1503977422547949,-0.15039773599181366,-0.15039774526102592,-0.15039773298558265,-0.15039774773490353,-0.15039773051170505,0.11559274215930235,0.11559274215930235,-0.053286595523481604,0.37438060209917845
7,2.283250938100748e-08,6.494335446335897e-08,-4.2110845082351494e-08,8.777586384436645e-08,-1.0445646536717609e-07,1.5012148412919106e-07,-1.5576171539322969e-07,2.0142673415524466e-07,0.07126099527886791,0.07126099527886791,5.487944327018966,6.494335446335897e-08,5.487944262075612,5.487944391962321,5.487944199729991,5.487944454307941,5.4879441484247415,5.487944505613191,0.07126099527886791,0.07126099527886791,0.02108142687097933,0.7254227691835795
8,-4.772980033240119e-08,1.4894202902055665e-07,-1.9667182935295785e-07,1.0121222868815545e-07,-3.396561772126922e-07,2.4419657654788986e-07,-4.5732038013893196e-07,3.618607794741296e-07,0.6887779448978019,0.8450728998131677,-12.603669971864083,1.4894202902055665e-07,-12.603670120806111,-12.603669822922054,-12.603670263790459,-12.603669679937706,-12.603670381454663,-12.603669562273502,0.6887779448978019,0.8450728998131677,-0.019216299274157172,0.7488612152398172
9,4.3316032143398316e-08,1.330855216190759e-07,-8.97694894756776e-08,1.7640155376247422e-07,-2.1753159022999045e-07,3.041636545167871e-07,-3.226691523090604e-07,4.093012165958571e-07,-0.872100157047235,-0.8360199591464885,11.431081468763585,1.330855216190759e-07,11.431081335678064,11.431081601849106,11.431081207915962,11.431081729611208,11.4310811027784,11.43108183474877,-0.872100157047235,-0.8360199591464885,0.019516984999651796,0.7450663063594799
10,-2.461380151900683e-08,6.866213358407395e-08,-9.327593510308078e-08,4.4048332065067124e-08,-1.5919158334379178e-07,1.0996398030577811e-07,-2.134346688752102e-07,1.6420706583719652e-07,0.6917515263621018,0.5269913106212974,-5.941536841738116,6.866213358407395e-08,-5.94153691040025,-5.941536773075982,-5.941536976315898,-5.941536707160334,-5.941537030558983,-5.941536652917248,0.6917515263621018,0.5269913106212974,-0.021495059343727932,0.720258381951388
11,9.929235109957231e-09,3.420758616664921e-08,-2.4278351056691978e-08,4.413682127660644e-08,-5.711763377667522e-08,7.697610399658968e-08,-8.414162684832811e-08,1.0400009706824256e-07,-0.3103770494140486,-0.11986150461464389,2.5749801882053567,3.420758616664921e-08,2.5749801539977706,2.5749802224129428,2.5749801211584877,2.5749802552522256,2.574980094134495,2.5749802822762184,-0.3103770494140486,-0.11986150461464389,0.017406247963492365,0.7718305798744244
12,2.876050792858615e-08,8.540198777284962e-08,-5.664147984426347e-08,1.1416249570143577e-07,-1.386273881061991e-07,1.9614840396337138e-07,-2.0609495844675032e-07,2.636159743039226e-07,0.13306690521040085,0.12512410382353797,7.110904191431101,8.540198777284962e-08,7.110904106029113,7.110904276833089,7.110904024043204,7.110904358818997,7.110903956575634,7.1109044262865675,0.13306690521040085,0.12512410382353797,0.020193779335136677,0.7365471947654749
13,-5.337264691597379e-08,1.6647901278442118e-07,-2.1985165970039496e-07,1.1310636586844739e-07,-3.7967151197343926e-07,2.729262181414917e-07,-5.111899320731321e-07,4.0444463824118446e-07,1.343283893636135,0.7072724444575016,-13.813201965653452,1.6647901278442118e-07,-13.813202132132464,-13.81320179917444,-13.813202291952317,-13.813201639354586,-13.813202423470736,-13.813201507836167,1.343283893636135,0.7072724444575016,-0.0192245676951283,0.7487567793484646
14,3.080600104123004e-08,9.517795520821576e-08,-6.437195416698572e-08,1.259839562494458e-07,-1.5574279116687285e-07,2.1735479324933293e-07,-2.3093337578136333e-07,2.925453778638234e-07,-1.8735738218092681,-0.40968712555103326,8.282083841370937,9.517795520821576e-08,8.282083746192983,8.282083936548892,8.282083654822145,8.28208402791973,8.28208357963156,8.282084103110314,-1.8735738218092681,-0.40968712555103326,0.01940862388153196,0.7464332118972684
15,-1.4750385466842004e-08,3.769962985032827e-08,-5.245001531717027e-08,2.2949244383486263e-08,-8.86416599734854e-08,5.91408890398014e-08,-1.1842436755524473e-07,8.892359662156073e-08,1.6073851470632352,0.09025450614631854,-3.7968527810184924,3.769962985032827e-08,-3.796852818718122,-3.796852743318863,-3.796852854909767,-3.796852707127218,-3.7968528846924747,-3.79685267734451,1.6073851470632352,0.09025450614631854,-0.02345980203786426,0.6959042159986679
16,-2.659140360559068e-09,1.4489714909256334e-08,-1.7148855269815404e-08,1.1830574548697266e-08,-3.1058981582701484e-08,2.5740700861583348e-08,-4.250585636101398e-08,3.718757563989585e-08,-0.9306038945671107,0.04729670454442388,-1.053962135594497,1.4489714909256334e-08,-1.053962150084212,-1.053962121104782,-1.0539621639943382,-1.0539621071946559,-1.053962175441213,-1.053962095747781,-0.9306038945671107,0.04729670454442388,-0.011006081330435114,0.8545244628446433
