Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
1,-0.2679003566810476,0.026448742370186358,-0.29434909905123396,-0.24145161431086126,-0.3197398917266129,-0.21606082163548235,-0.3406343981990601,-0.19516631516303512,,,1.813522889106525,0.026448742370186358,1.7870741467363385,1.8399716314767114,1.7616833540609598,1.86536242415209,1.7407888475885125,1.8862569306245374,,,-0.5192007764322769,9.94390224529709e-21
2,0.0029371677692243197,0.0031224843284081215,-0.00018531655918380173,0.006059652097632441,-0.003182901514455598,0.009057237052904238,-0.005649664133898014,0.011523999672346654,1.813522889106525,1.813522889106525,-0.014526866468768378,0.0031224843284081215,-0.0176493507971765,-0.011404382140360256,-0.020646935752448296,-0.008406797185088459,-0.02311369837189071,-0.005940034565646044,1.813522889106525,1.813522889106525,0.05632692532491105,0.34770040197357877
3,0.0032946609188258392,0.0035025330164130293,-0.00020787209758719007,0.006797193935238869,-0.003570303793343698,0.010159625630995376,-0.006337304876309992,0.012926626713961671,0.8994980113188783,0.8994980113188783,-0.016294983122565176,0.0035025330164130293,-0.019797516138978205,-0.012792450106152146,-0.023159947834734712,-0.00943001841039564,-0.025926948917701007,-0.006663017327429344,0.8994980113188783,0.8994980113188783,0.05632692532491104,0.34770040197357877
4,0.003824229424835807,0.004065513918682501,-0.00024128449384669447,0.007889743343518309,-0.004144177855781896,0.01179263670545351,-0.007355933851541072,0.015004392701212687,0.5942336798383971,0.5942336798383971,-0.01891416308684198,0.004065513918682501,-0.02297967700552448,-0.014848649168159478,-0.026882570367459682,-0.010945755806224276,-0.03009432636321886,-0.0077339998104651,0.5942336798383971,0.5942336798383971,0.056326925324910605,0.3477004019735823
5,0.004096220188611798,0.004354665565469951,-0.0002584453768581527,0.00845088575408175,-0.004438924319709305,0.012631364696932903,-0.007879110116430568,0.016071550493654163,0.4409467191070874,0.4409467191070874,-0.020259395574925444,0.004354665565469951,-0.024614061140395396,-0.01590473000945549,-0.02879454008324655,-0.01172425106660434,-0.03223472587996781,-0.008284065269883078,0.4409467191070874,0.4409467191070874,0.05632692532491089,0.34770040197358
6,0.004489633797214599,0.004772901064414282,-0.00028326726719968276,0.00926253486162888,-0.004865252289037393,0.013844519883466591,-0.008635844129924675,0.017615111724353875,0.3487054961706848,0.3487054961706848,-0.022205170351242857,0.004772901064414282,-0.02697807141565714,-0.017432269286828575,-0.03156005643749485,-0.012850284264990866,-0.03533064827838213,-0.009079692424103582,0.3487054961706848,0.3487054961706848,0.05632692532491086,0.3477004019735802
7,0.00500547109121124,0.00532128440274102,-0.00031581331152978013,0.010326755493952261,-0.0054242463381611586,0.015435188520583638,-0.009628061016326565,0.019639003198749047,0.2868870517503635,0.2868870517503635,-0.024756437448756653,0.00532128440274102,-0.030077721851497673,-0.019435153046015632,-0.03518615487812905,-0.014326720019384254,-0.03938996955629446,-0.010122905341218846,0.2868870517503635,0.2868870517503635,0.05632692532491099,0.3477004019735791
8,0.0058467496342365,0.005370234774291412,0.00047651485994508816,0.011216984408527912,-0.004678910523374668,0.016372409791847668,-0.008921395995064883,0.020614895263537884,-0.01949283600885008,0.24236655329334636,-0.029100873084733688,0.005370234774291412,-0.0344711078590251,-0.023730638310442274,-0.03962653324234486,-0.01857521292712252,-0.04386901871403507,-0.014332727455432305,-0.01949283600885008,0.24236655329334636,0.06515907656249931,0.27721473766476085
9,0.006684888761147652,0.00569940916572902,0.000985479595418632,0.012384297926876672,-0.004485953203681227,0.01785573072597653,-0.008988486444607154,0.022358263966902457,-0.021921837111510963,0.20843312499608635,-0.033022923783860264,0.00569940916572902,-0.03872233294958928,-0.027323514618131244,-0.04419376574868914,-0.021852081819031387,-0.04869629898961507,-0.01734954857810546,-0.021921837111510963,0.20843312499608635,0.07017299647300788,0.2418362853454463
10,0.0069238706442235586,0.005949087750779401,0.0009747828934441576,0.01287295839500296,-0.004736341347304067,0.018584082635751183,-0.009436120670419795,0.023283861958866912,-0.02470982722172681,0.18160467513164785,-0.03420489845356575,0.005949087750779401,-0.040153986204345155,-0.02825581070278635,-0.04586511044509338,-0.022544686462038124,-0.05056488976820911,-0.017844907138922398,-0.02470982722172681,0.18160467513164785,0.06963389540685336,0.24548100718488478
11,0.007130517340333155,0.006165272465909093,0.0009652448744240623,0.013295789806242249,-0.004953416692848666,0.019214451373514976,-0.009823981940916849,0.02408501662158316,-0.027258283116180778,0.1600237177731265,-0.03522694731030813,0.006165272465909093,-0.04139221977621722,-0.029061674844399036,-0.04731088134348995,-0.023143013277126305,-0.05218144659155813,-0.018272448029058124,-0.027258283116180778,0.1600237177731265,0.06919967268041656,0.24844440469750248
12,0.008811900172334144,0.006611225775843707,0.0022006743964904374,0.015423125948177852,-0.004146102348319521,0.02176990269298781,-0.00936897071123605,0.02699277105590434,-0.029752875072077894,0.14227365731099606,-0.04338015151064639,0.006611225775843707,-0.0499913772864901,-0.036768925734802685,-0.05633815403130006,-0.030422148989992726,-0.06156102239421658,-0.025199280627076198,-0.029752875072077894,0.14227365731099606,0.07968598250925081,0.18366600695878108
13,0.00898599467368916,0.00679152487222018,0.0021944698014689807,0.015777519545909342,-0.0043253940758623925,0.022297383423240714,-0.009690698724916333,0.027662688072294654,-0.03328203859864515,0.1268025065758592,-0.044241201260895764,0.00679152487222018,-0.05103272613311594,-0.037449676388675586,-0.05755259001044732,-0.03092981251134421,-0.06291789465950126,-0.02556450786229027,-0.03328203859864515,0.1268025065758592,0.079106708424165,0.1868830678816904
14,0.009137180166631731,0.006948302408535218,0.002188877758096513,0.016085482575166947,-0.004481492554097296,0.022755852887360758,-0.009970651456840118,0.02824501179010358,-0.036529499234001665,0.1136452982807242,-0.044988945904904196,0.006948302408535218,-0.05193724831343941,-0.03804064349636898,-0.058607618625633226,-0.031370273184175165,-0.06409677752837604,-0.025881114281432346,-0.036529499234001665,0.1136452982807242,0.0786256968857606,0.1895857216033123
15,0.009278582631899153,0.007095094908622373,0.00218348772327678,0.016373677540521527,-0.004627803389000698,0.023184968652799003,-0.010232928366812373,0.028790093630610677,-0.03917751137069675,-0.029317150566308823,-0.04568830491082061,0.007095094908622373,-0.05278339981944299,-0.03859321000219824,-0.05959469093172046,-0.03178191888992076,-0.06519981590953214,-0.026176793912109086,-0.03917751137069675,-0.029317150566308823,0.07819325259088522,0.19203984720273998
16,0.009734360901123586,0.007280006246374801,0.0024543546547487853,0.017014367147498387,-0.004534451341771023,0.024003173144018196,-0.010285656276407117,0.02975437807865429,-0.041288408225190136,-0.03171418429262053,-0.04781191642622669,0.007280006246374801,-0.05509192267260149,-0.04053191017985189,-0.0620807286691213,-0.033543104183332076,-0.06783193360375739,-0.027791899248695986,-0.041288408225190136,-0.03171418429262053,0.0799394583645355,0.1822712052518778
17,0.010663177705529322,0.007500105752281404,0.003163071953247918,0.018163283457810726,-0.004037029568942229,0.025363384980000875,-0.009962113113244537,0.031288468524303184,-0.04355624455396696,-0.03413856377751757,-0.05190034786036736,0.007500105752281404,-0.059400453612648764,-0.044400242108085956,-0.06660055513483891,-0.03720014058589581,-0.07252563867914122,-0.0312750570415935,-0.04355624455396696,-0.03413856377751757,0.08496179871173161,0.15622350391565612
18,0.012031972426020462,0.007803946234472738,0.004228026191547724,0.0198359186604932,-0.0032637621935461044,0.027327707045587027,-0.009428879718779567,0.03349282457082049,-0.0463351446456435,-0.03667596260625029,-0.05823447028307322,0.007803946234472738,-0.06603841651754595,-0.05043052404860048,-0.07353020490263978,-0.04293873566350666,-0.07969532242787325,-0.03677361813827319,-0.0463351446456435,-0.03667596260625029,0.09207702937996451,0.12426442445356879
19,0.014261720177192915,0.00816106298161332,0.006100657195579595,0.022422783158806234,-0.0017339632667691916,0.030257403621155022,-0.008181203022243715,0.03670464337662954,-0.048810864441047964,-0.03959712219918474,-0.06873662056800353,0.00816106298161332,-0.07689768354961685,-0.06057555758639021,-0.08473230401196563,-0.052740937124041425,-0.09117954376744017,-0.0462936973685669,-0.048810864441047964,-0.03959712219918474,0.10423903873189355,0.08164919136629273
20,0.015661230145038185,0.008385265190107512,0.007275964954930672,0.024046495335145697,-0.0007738896275725389,0.03209634991764891,-0.007398249127757474,0.03872070941783384,-0.052893434325565925,-0.04317646452355094,-0.07563584751553964,0.008385265190107512,-0.08402111270564716,-0.06725058232543213,-0.09207096728815037,-0.05920072774292892,-0.0986953267883353,-0.05257636824274399,-0.052893434325565925,-0.04317646452355094,0.1113214536574526,0.06285482649778684
21,0.017354055960502927,0.008714558083245567,0.00863949787725736,0.026068614043748495,0.00027352211734161386,0.03443458980366424,-0.006610978768422385,0.04131909068942824,-0.05800125126067185,-0.04709026529791886,-0.08317286208063943,0.008714558083245567,-0.09188742016388499,-0.07445830399739387,-0.10025339592380074,-0.06609232823747811,-0.10713789680956473,-0.059207827351714114,-0.05800125126067185,-0.04709026529791886,0.11859258744221884,0.04741683446048013
22,0.019240845289926697,0.008837197745505326,0.010403647544421371,0.028078043035432022,0.0019199377087362572,0.03656175287111714,-0.005061448510212948,0.04354313909006634,-0.06424867745564165,-0.051249649066834685,-0.09252408000079995,0.008837197745505326,-0.10136127774630528,-0.08368688225529462,-0.10984498758199039,-0.07520317241960951,-0.1168263738009396,-0.0682217862006603,-0.06424867745564165,-0.051249649066834685,0.12948385047290778,0.03030251756834381
23,0.022552923567060085,0.009325542655055741,0.013227380912004344,0.03187846622211583,0.004274859963150832,0.040830987170969335,-0.0030923187343432045,0.04819816586846337,-0.07170070471807051,-0.05582666108352236,-0.10881468559277646,0.009325542655055741,-0.1181402282478322,-0.09948914293772072,-0.12709274919668573,-0.09053662198886721,-0.13445992789417976,-0.08316944329137317,-0.07170070471807051,-0.05582666108352236,0.14354408448087513,0.01623152175331716
24,0.023321633196326644,0.009581344929059413,0.01374028826726723,0.032902978125386055,0.0045421971353701955,0.04210106925728309,-0.0030270653585867426,0.04967033175124003,-0.08118642767347203,-0.06156587547884626,-0.11251380008004272,0.009581344929059413,-0.12209514500910214,-0.1029324551509833,-0.13129323614099916,-0.09373436401908627,-0.13886249863495612,-0.08616510152512934,-0.08118642767347203,-0.06156587547884626,0.14445444570028015,0.015560108659095932
25,0.02382071847110393,0.009753037433362258,0.014067681037741673,0.03357375590446619,0.004704765101713904,0.04293667184049396,-0.00300013447064228,0.05064157141285014,-0.09023298263963363,-0.06751101799959508,-0.11488227043614627,0.009753037433362258,-0.12463530786950852,-0.10512923300278401,-0.1339982238055363,-0.09576631706675624,-0.14170312337789248,-0.08806141749440005,-0.09023298263963363,-0.06751101799959508,0.14493802976035228,0.01521343750984863
26,0.02559427088196953,0.009895500049554723,0.015698770832414808,0.03548977093152425,0.006199090784842275,0.04498945097909679,-0.0016183542543059572,0.05280689601824502,-0.09792392428432407,-0.07301118099386429,-0.12388038829006207,0.009895500049554723,-0.1337758883396168,-0.11398488824050734,-0.14327556838718933,-0.1044852081929348,-0.15109301342633755,-0.09666776315378658,-0.09792392428432407,-0.07301118099386429,0.1532918620050509,0.010205469447838372
27,0.026802524596010777,0.010077753550544794,0.016724771045465985,0.03688027814655557,0.007050127636942981,0.04655492155507857,-0.0009112976679874069,0.05451634686000896,-0.10596468108007782,-0.07913727230380017,-0.13018402833542497,0.010077753550544794,-0.14026178188596977,-0.12010627478488017,-0.14993642529449278,-0.11043163137635717,-0.15789785059942316,-0.10247020607142679,-0.10596468108007782,-0.07913727230380017,0.15751926439313443,0.008278022000943774
28,0.02973257288651174,0.010326397931949697,0.019406174954562046,0.04005897081846144,0.009492832939890335,0.04997231283313315,0.0013349785736500724,0.05813016719937341,-0.1137998754558754,-0.085690740183071,-0.1450109935960298,0.010326397931949697,-0.1553373915279795,-0.13468459566408011,-0.1652507335426512,-0.12477125364940841,-0.1734085879088915,-0.11661339928316815,-0.1137998754558754,-0.085690740183071,0.1701689666849979,0.004295700039256081
