Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
1,2.101831533897275e-10,6.495579395580594e-10,-4.3937478616833194e-10,8.597410929477869e-10,-1.0629504081440688e-09,1.483316714923524e-09,-1.5761011803949358e-09,1.9964674871743908e-09,,,0.05481703534621091,6.495579395580594e-10,0.054817034696652965,0.05481703599576885,0.05481703407307734,0.05481703661934447,0.05481703355992657,0.05481703713249524,,,0.019403310843199285,0.7465002528966241
2,2.289849605686061e-10,6.50521584997768e-10,-4.215366244291619e-10,8.795065455663741e-10,-1.046037346027019e-09,1.5040072671642314e-09,-1.5599493981752559e-09,2.017919319312468e-09,0.05481703534621091,0.05481703534621091,0.05786092894388961,6.50521584997768e-10,0.05786092829336802,0.0578609295944112,0.0578609276688673,0.05786093021891192,0.05786092715495525,0.05786093073282397,0.05481703534621091,0.05481703534621091,0.02110697949776268,0.7251033701698466
3,3.167298868806632e-10,9.183109446019847e-10,-6.015810577213214e-10,1.235040831482648e-09,-1.4831595645392268e-09,2.1166193383005533e-09,-2.2086252107747945e-09,2.8420849845361208e-09,0.05633898214505026,0.05633898214505026,0.08397043899023546,9.183109446019847e-10,0.08397043807192452,0.0839704399085464,0.08397043719034601,0.0839704407901249,0.08397043646488037,0.08397044151559055,0.05633898214505026,0.05633898214505026,0.02068159301082652,0.7304267104066378
4,5.145493253651097e-10,1.5290258938926157e-09,-1.014476568527506e-09,2.0435752192577252e-09,-2.482341426664417e-09,3.5114400773946366e-09,-3.6902718828395833e-09,4.719370533569803e-09,0.06554946776011199,0.06554946776011199,0.13556294284549286,1.5290258938926157e-09,0.13556294131646696,0.13556294437451877,0.1355629398486021,0.13556294584238363,0.13556293864067165,0.13556294705031408,0.06554946776011199,0.06554946776011199,0.020179078770444735,0.7367318998629706
5,6.902084214645561e-10,1.987732177423637e-09,-1.297523755959081e-09,2.6779405988881933e-09,-3.2057466462857723e-09,4.586163489214885e-09,-4.776055066450446e-09,6.156471909379559e-09,0.0830528365314572,0.0830528365314572,0.1806343572170941,1.987732177423637e-09,0.18063435522936191,0.18063435920482626,0.18063435332113903,0.18063436111304915,0.1806343517508306,0.18063436268335759,0.0830528365314572,0.0830528365314572,0.020821203518887457,0.7286781680930041
6,9.771397204991154e-10,2.9045212764577704e-09,-1.9273815559586548e-09,3.881660996956886e-09,-4.715721981358114e-09,6.670001422356345e-09,-7.0102937897597536e-09,8.964573230757984e-09,0.10256914066858458,0.10256914066858458,0.26544087526651894,2.9045212764577704e-09,0.26544087236199765,0.26544087817104023,0.26544086957365726,0.2654408809593806,0.26544086727908545,0.26544088325395243,0.10256914066858458,0.10256914066858458,0.020173038674068593,0.7368077949789802
7,1.582961750857745e-09,4.776196058908182e-09,-3.193234308050437e-09,6.3591578097659275e-09,-7.778382524602292e-09,1.0944306026317782e-08,-1.1551577411139756e-08,1.4717500912855247e-08,0.1297144297682403,0.1297144297682403,0.42344291832324443,4.776196058908182e-09,0.4234429135470484,0.4234429230994405,0.4234429089619002,0.4234429276845887,0.42344290518870525,0.4234429314577836,0.1297144297682403,0.1297144297682403,0.019873762450677485,0.7405714492235125
8,1.634256498151763e-09,4.776458327520227e-09,-3.1422018293684636e-09,6.41071482567199e-09,-7.727601823787882e-09,1.0996114820091408e-08,-1.1501003902528861e-08,1.4769516898832387e-08,0.19115207693107925,0.1716756424189552,0.42914656417594144,4.776458327520227e-09,0.4291465593994831,0.4291465689523998,0.4291465548140831,0.4291465735377998,0.42914655104068106,0.4291465773112018,0.19115207693107925,0.1716756424189552,0.02051636459753588,0.7324979036927539
9,2.1087692153206697e-09,6.190023864514758e-09,-4.081254649194088e-09,8.298793079835427e-09,-1.0023677559128256e-08,1.4241215989769597e-08,-1.4913796412094914e-08,1.9131334842736255e-08,0.2530330161364212,0.20385950763857846,0.555118555402264,6.190023864514758e-09,0.5551185492122401,0.5551185615922878,0.5551185432698171,0.5551185675347108,0.5551185383796984,0.5551185724248295,0.2530330161364212,0.20385950763857846,0.0204278987852192,0.7336076502818207
10,2.6280452413423505e-09,7.79448217981815e-09,-5.166436938475799e-09,1.04225274211605e-08,-1.2649139831101221e-08,1.7905230313785924e-08,-1.880678075315756e-08,2.4062871235842262e-08,0.3315577022050926,0.2428882907234324,0.6905488780223142,7.79448217981815e-09,0.6905488702278321,0.6905488858167964,0.6905488627451292,0.6905488932994993,0.6905488565874882,0.6905488994571403,0.3315577022050926,0.2428882907234324,0.02021782306329611,0.7362451302183572
