Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
1,0.003811063581563814,0.0036729680372281793,0.0001380955443356347,0.007484031618791994,-0.0033879537714034172,0.011010080934531045,-0.006289598520813679,0.013911725683941308,,,-0.02047401489040842,0.0036729680372281793,-0.024146982927636597,-0.016801046853180242,-0.02767303224337565,-0.013274997537441189,-0.03057467699278591,-0.010373352788030926,,,0.062110829086632645,0.30035898557950225
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02047401489040842,-0.02047401489040842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02047401489040842,-0.02047401489040842,0.0,1.0
3,0.002617518132765425,0.0025226712262217295,9.484690654369557e-05,0.005140189358987154,-0.002326917470629165,0.007561953736160015,-0.004319827739344331,0.009554864004875182,-0.01023700744520421,-0.01023700744520421,-0.014061981407343256,0.0025226712262217295,-0.016584652633564984,-0.011539310181121526,-0.019006417010737846,-0.009117545803948666,-0.02099932727945301,-0.0071246355352335,-0.01023700744520421,-0.01023700744520421,0.062110829086632825,0.30035898557950075
4,0.0037295150851064606,0.0035943744859631395,0.00013514059914332107,0.0073238895710696,-0.0033154589073812924,0.010774489077594214,-0.006155014751292173,0.013614044921505095,-0.011511998765917226,-0.011511998765917226,-0.020035915369100207,0.0035943744859631395,-0.023630289855063345,-0.016441540883137068,-0.027080889361587958,-0.012990941376612454,-0.02992044520549884,-0.010151385532701573,-0.011511998765917226,-0.011511998765917226,0.06211082908663304,0.300358985579499
5,0.003342542931495135,0.0032214244364316916,0.00012111849506344328,0.006563967367926827,-0.0029714489639109803,0.00965653482690125,-0.0055163742686920175,0.012201460131682287,-0.01364297791671297,-0.01364297791671297,-0.01795700131646174,0.0032214244364316916,-0.02117842575289343,-0.014735576880030047,-0.024270993211867854,-0.011643009421055624,-0.02681591851664889,-0.009098084116274587,-0.01364297791671297,-0.01364297791671297,0.06211082908663292,0.3003589855795002
6,0.0042749217027717445,0.004120018057922496,0.0001549036448492483,0.00839493976069424,-0.0038003136907563476,0.012350157096299837,-0.00705512795651512,0.01560497136205861,-0.014505782596662724,-0.014505782596662724,-0.022965980158736757,0.004120018057922496,-0.027085998216659253,-0.01884596210081426,-0.03104121555226485,-0.014890744765208665,-0.03429602981802362,-0.011635930499449892,-0.014505782596662724,-0.014505782596662724,0.06211082908663256,0.3003589855795029
7,0.005235036265530852,0.005045342452443461,0.00018969381308739115,0.010280378717974312,-0.004653834941258332,0.015123907472320036,-0.008639655478688665,0.01910972800975037,-0.015915815523675065,-0.015915815523675065,-0.02812396281468652,0.005045342452443461,-0.03316930526712998,-0.023078620362243056,-0.038012834021475705,-0.018235091607897335,-0.041998654558906036,-0.014249271070467001,-0.015915815523675065,-0.015915815523675065,0.06211082908663283,0.30035898557950075
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01719080684438808,-0.017659836565248128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01719080684438808,-0.017659836565248128,0.0,1.0
9,0.004857183728067946,0.004681181565807941,0.00017600216226000553,0.009538365293875887,-0.004317932140915617,0.01403229959705151,-0.00801606557790389,0.017730433034039785,-0.01719080684438808,-0.015452356994592112,-0.02609404168825396,0.004681181565807941,-0.0307752232540619,-0.021412860122446017,-0.03526915755723752,-0.016918925819270396,-0.0389672909942258,-0.013220792382282121,-0.01719080684438808,-0.015452356994592112,0.06211082908663216,0.3003589855795062
10,0.005027682292983943,0.004845502041162652,0.00018218025182129092,0.009873184334146596,-0.004469501707694855,0.01452486629366274,-0.00829744832021335,0.018352812906181237,-0.019196150224539864,-0.016634766404998984,-0.027010003881529937,0.004845502041162652,-0.03185550592269259,-0.022164501840367286,-0.03650718788220873,-0.01751281988085114,-0.040335134494727226,-0.013684873268332644,-0.019196150224539864,-0.016634766404998984,0.06211082908663263,0.3003589855795023
11,0.005120487241987535,0.004934944162526317,0.0001855430794612178,0.010055431404513853,-0.004552003316564047,0.014792977800539116,-0.008450609204959839,0.018691583688934907,-0.02035849830994482,-0.01767229015265208,-0.027508575964398062,0.004934944162526317,-0.03244352012692438,-0.022573631801871746,-0.03718106652294964,-0.01783608540584648,-0.041079672411345435,-0.013937479517450689,-0.02035849830994482,-0.01767229015265208,0.06211082908663233,0.30035898557950474
12,0.006207975041187963,0.005983026368937509,0.00022494867225045408,0.012191001410125472,-0.0055187566419295534,0.01793470672430548,-0.010245347473390187,0.022661297555766114,-0.021950427417934206,-0.018566497953719896,-0.0333508404444965,0.005983026368937509,-0.03933386681343401,-0.027367814075558994,-0.04507757212761402,-0.021624108761378984,-0.04980416295907465,-0.01689751792991835,-0.021950427417934206,-0.018566497953719896,0.06211082908663251,0.3003589855795032
13,0.00559427262765969,0.0053915617289447175,0.00020271089871497228,0.010985834356604407,-0.004973188361071956,0.016161733616391335,-0.009232522126938283,0.020421067382257664,-0.023681237465560834,-0.019798526494617944,-0.030053873053650308,0.0053915617289447175,-0.03544543478259503,-0.02466231132470559,-0.040621334042381954,-0.019486412064918662,-0.04488066780824828,-0.015227078299052335,-0.023681237465560834,-0.019798526494617944,0.06211082908663293,0.3003589855795002
14,0.005615127901687299,0.00541166130305884,0.00020346659862845867,0.011026789204746139,-0.004991728252308028,0.016221984055682627,-0.009266940681724511,0.02049719648509911,-0.024002889172054797,-0.020587399306851203,-0.030165912955857754,0.00541166130305884,-0.0355775742589166,-0.024754251652798914,-0.04077276910985308,-0.01955905680186243,-0.04504798153926956,-0.015283844372445943,-0.024002889172054797,-0.020587399306851203,0.06211082908663222,0.3003589855795055
15,0.005714813368145769,0.005507734623338549,0.00020707874480721967,0.011222547991484318,-0.005080346493597788,0.016509973229889327,-0.009431456846035243,0.02086108358232678,-0.02903054133136442,-0.021332929927270386,-0.030701448950193114,0.005507734623338549,-0.036209183573531666,-0.025193714326854563,-0.041496608811936675,-0.019906289088449557,-0.04584771916437413,-0.015555178736012103,-0.02903054133136442,-0.021332929927270386,0.062110829086632895,0.30035898557950025
16,0.00569545852732398,0.005489081113581393,0.00020637741374258684,0.011184539640905374,-0.00506314045529555,0.016454057509943512,-0.009399514535024852,0.020790431589672812,-0.02979844254168761,-0.02369457984651601,-0.03059746976152154,0.005489081113581393,-0.03608655087510293,-0.025108388647940145,-0.04135606874414107,-0.019838870778902007,-0.045692442823870374,-0.015502496699172707,-0.02979844254168761,-0.02369457984651601,0.06211082908663223,0.30035898557950547
17,0.005911141555767612,0.005696948773800507,0.00021419278196710499,0.011608090329568117,-0.005254878040881382,0.017077161152416604,-0.009755467572183783,0.021577750683719005,-0.030396353521686213,-0.02496654048914511,-0.031756174527646515,0.005696948773800507,-0.037453123301447025,-0.02605922575384601,-0.04292219412429551,-0.02059015493099752,-0.047422783655597905,-0.01608956539969512,-0.030396353521686213,-0.02496654048914511,0.0621108290866325,0.30035898557950347
18,0.00663688354657029,0.0057616166192274295,0.00087526692734286,0.012398500165797719,-0.004655885027115472,0.017929652120256052,-0.009207562156305141,0.02248132924944572,-0.031104286615560955,-0.025868098885956363,-0.03541677867969451,0.0057616166192274295,-0.04117839529892194,-0.02965516206046708,-0.04670954725338027,-0.02412401010600875,-0.05126122438256994,-0.019572332976819082,-0.031104286615560955,-0.025868098885956363,0.06892288632342103,0.2503462996439103
19,0.007170000303810889,0.005909127995125042,0.0012608723086858465,0.01307912829893593,-0.004411890566634194,0.01875189117425597,-0.009080101682782976,0.023420102290404754,-0.03144860965476062,-0.027211158683128116,-0.03871498686193679,0.005909127995125042,-0.04462411485706184,-0.03280585886681175,-0.050296877732381874,-0.02713309599149171,-0.05496508884853066,-0.022464884875342928,-0.03144860965476062,-0.027211158683128116,0.07258157781895717,0.22601562299673858
20,0.007182542299165258,0.0060685594941528725,0.0011139828050123852,0.013251101793318131,-0.004711834309374372,0.01907691890770489,-0.009505996309755141,0.023871080908085658,-0.032892128622808374,-0.028422620737220423,-0.038604699639181055,0.0060685594941528725,-0.04467325913333393,-0.03253614014502818,-0.05049907624772068,-0.026710323030641425,-0.05529323824810145,-0.021916161030260655,-0.032892128622808374,-0.028422620737220423,0.07080741392116865,0.23759587367703033
21,0.006111359499750601,0.005889911733612163,0.00022144776613843876,0.012001271233362764,-0.005432867498129238,0.01765558649763044,-0.010085897767682844,0.02230861676718405,-0.03429859307002892,-0.029228831262181544,-0.03283179687786525,0.005889911733612163,-0.03872170861147741,-0.026941885144253087,-0.04437602387574509,-0.02128756987998541,-0.04902905414529869,-0.016634539610431803,-0.03429859307002892,-0.029228831262181544,0.06211082908663278,0.30035898557950125
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03465365105797428,-0.03175435409894041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03465365105797428,-0.03175435409894041,0.0,1.0
23,0.008485650708539525,0.007164973219997266,0.0013206774885422589,0.01565062392853679,-0.005557696802655117,0.022528998219734166,-0.011218025646452955,0.028189327063532006,-0.029554072764387356,-0.029747120122920873,-0.04578299960968866,0.007164973219997266,-0.05294797282968593,-0.03861802638969139,-0.0598263471208833,-0.03173965209849402,-0.06548667596468113,-0.02607932325469618,-0.029554072764387356,-0.029747120122920873,0.07085252624864503,0.23729634717646347
24,0.007438563645275438,0.006525893013659264,0.0009126706316161734,0.013964456658934702,-0.00535218666149672,0.020229313952047596,-0.010507642142287539,0.025384769432838412,-0.03189187694472771,-0.03119119671739462,-0.03972361059864618,0.006525893013659264,-0.04624950361230545,-0.033197717584986915,-0.05251436090541834,-0.02693286029187402,-0.05766981638620916,-0.021777404811083204,-0.03189187694472771,-0.03119119671739462,0.06820468947200825,0.2553283594041868
25,0.007739820263638457,0.006452463273130319,0.001287356990508138,0.014192283536768775,-0.004907007751696967,0.020386648278973882,-0.010004453737469922,0.025484094264746834,-0.032609682264552985,-0.032130814766182944,-0.04177620641198544,0.006452463273130319,-0.04822866968511576,-0.035323743138855127,-0.05442303442732087,-0.029129378396650016,-0.059520480413093824,-0.024031932410877064,-0.032609682264552985,-0.032130814766182944,0.07175661676136563,0.23134945376528582
26,0.007244401706053315,0.006030228534180287,0.0012141731718730278,0.013274630240233603,-0.004574846220940047,0.019063649633046676,-0.009338726762942475,0.023827530175049103,-0.03311988552289443,-0.032778919840605165,-0.03905420036510865,0.006030228534180287,-0.04508442889928894,-0.03302397183092836,-0.05087344829210201,-0.027234952438115287,-0.05563732883410444,-0.02247107189611286,-0.03311988552289443,-0.032778919840605165,0.0718657482091505,0.2306387987582765
27,0.009028850698529376,0.006091623160996079,0.002937227537533297,0.015120473859525457,-0.0029107306970229396,0.020968432094081692,-0.007723112994209842,0.025780814391268593,-0.033194802310549026,-0.033471252710717346,-0.049106888344323786,0.006091623160996079,-0.05519851150531987,-0.043015265183327704,-0.061046469739876104,-0.03716730694877147,-0.065858852037063,-0.03235492465158457,-0.033194802310549026,-0.033471252710717346,0.0885457710279917,0.13942641379916007
28,0.00831510131157514,0.006476681347443852,0.0018384199641312887,0.014791782659018992,-0.00437919412941481,0.021009396752565093,-0.009495772393895452,0.026125975017045736,-0.03590731755495878,-0.034928250817522426,-0.04498135789653723,0.006476681347443852,-0.05145803924398108,-0.03850467654909338,-0.05767565333752718,-0.032287062455547286,-0.06279223160200782,-0.02717048419106664,-0.03590731755495878,-0.034928250817522426,0.07677307597679228,0.20026269839705896
29,0.007366305363683624,0.0061288264833112,0.0012374788803724245,0.013495131846994824,-0.004646194543606327,0.019378805270973576,-0.009487967465422173,0.024220578192789423,-0.04340421053771498,-0.036026705351856585,-0.0397302922933783,0.0061288264833112,-0.0458591187766895,-0.0336014658100671,-0.051742792200668256,-0.02771779238608835,-0.056584565122484096,-0.022876019464272503,-0.04340421053771498,-0.036026705351856585,0.07189927955188036,0.2304207556642197
30,0.006382589602485817,0.006151313695757268,0.00023127590672854855,0.012533903298243085,-0.005673985241198428,0.01843916444617006,-0.010533523060846671,0.023298702265818302,-0.0423954259849966,-0.036729230161999415,-0.034288914830184786,0.006151313695757268,-0.040440228525942055,-0.028137601134427516,-0.046345489673869034,-0.02223233998650054,-0.05120502749351727,-0.0173728021668523,-0.0423954259849966,-0.036729230161999415,0.062110829086632846,0.30035898557950064
31,0.001068191654304693,0.0008980496349366389,0.000170142019368054,0.001966241289241332,-0.0006919856301711193,0.002828368938780505,-0.0014014448417710643,0.00353782815038045,-0.0414896433569197,-0.036924056339117745,-0.005895203713093366,0.0008980496349366389,-0.006793253348030005,-0.004997154078156728,-0.007655380997569178,-0.004135026428617555,-0.008364840209169123,-0.003425567217017609,-0.0414896433569197,-0.036924056339117745,0.07115806506560093,0.2352746845155918
32,0.007140353812464582,0.0068816199904282414,0.0002587338220363406,0.014021973802892823,-0.006347621368774771,0.020628328993703933,-0.011784101161213081,0.026064808786142243,-0.03550947624043769,-0.0346531659570715,-0.03835981928677158,0.0068816199904282414,-0.04524143927719983,-0.03147819929634334,-0.05184779446801094,-0.02487184410553223,-0.05728427426044924,-0.01943536431309392,-0.03550947624043769,-0.0346531659570715,0.06211082908663308,0.3003589855794988
33,0.003477375808528624,0.0022840273599124034,0.0011933484486162205,0.005761403168441027,-0.0009993178168996864,0.007954069433956934,-0.002803699431230485,0.009758451048287733,-0.03539374606071485,-0.034625845374366485,-0.018836831317613857,0.0022840273599124034,-0.02112085867752626,-0.016552803957701454,-0.023313524943042167,-0.014360137692185547,-0.025117906557372966,-0.012555756077854748,-0.03539374606071485,-0.034625845374366485,0.09093370502170177,0.1290266212756206
34,0.01162939116469347,0.006985562786882859,0.004643828377810611,0.018614953951576328,-0.0020623118975969332,0.02532109422698387,-0.007580906499234392,0.030839688828621332,-0.030348736556263186,-0.03310524011886132,-0.06274878472281764,0.006985562786882859,-0.0697343475097005,-0.05576322193593478,-0.07644048778510805,-0.04905708166052724,-0.0819590823867455,-0.04353848705888978,-0.030348736556263186,-0.03310524011886132,0.09935256536972734,0.09708421492544393
35,0.010186185470701756,0.005962642898008017,0.004223542572693739,0.01614882836870977,-0.0015005946093939564,0.021872965550797468,-0.00621108249882029,0.026583453440223802,-0.03330997436064325,-0.035406546876165346,-0.054994295398294576,0.005962642898008017,-0.060956938296302596,-0.04903165250028656,-0.06668107547839029,-0.04330751531819886,-0.07139156336781663,-0.03859702742877253,-0.03330997436064325,-0.035406546876165346,0.10192546051774194,0.0886906019337557
36,0.008835099909679506,0.005438208884149683,0.003396891025529823,0.014273308793829188,-0.0018237895032538719,0.019493989322612884,-0.006119974521732123,0.023790174341091135,-0.0358539748781293,-0.03963687729141877,-0.04766920484316925,0.005438208884149683,-0.05310741372731893,-0.042230995959019565,-0.05832809425610263,-0.03701031543023587,-0.06262427927458088,-0.03271413041175762,-0.0358539748781293,-0.03963687729141877,0.09697978800070489,0.10537372069969016
37,0.00955220303248101,0.005306787240925305,0.0042454157915557044,0.014858990273406314,-0.0008490999597325875,0.019953506024694607,-0.00504146188006358,0.0241458679450256,-0.03808402321362671,-0.03978197000168651,-0.05176334172846386,0.005306787240925305,-0.05707012896938917,-0.046456554487538555,-0.06216464472067746,-0.041362038736250266,-0.06635700664100845,-0.037169676815919275,-0.03808402321362671,-0.03978197000168651,0.10733301557079895,0.07294512131606752
