Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
1,2.101831533897275e-10,6.495579395580594e-10,-4.3937478616833194e-10,8.597410929477869e-10,-1.0629504081440688e-09,1.483316714923524e-09,-1.5761011803949358e-09,1.9964674871743908e-09,,,0.05481703534621091,6.495579395580594e-10,0.054817034696652965,0.05481703599576885,0.05481703407307734,0.05481703661934447,0.05481703355992657,0.05481703713249524,,,0.019403310843199285,0.7465002528966241
2,1.8801807178878572e-11,3.819984470183936e-11,-1.9398037522960786e-11,5.7001651880717926e-11,-5.606988843672657e-11,9.367350279448372e-11,-8.624776575117965e-11,1.238513801089368e-10,0.05481703534621091,0.05481703534621091,0.0030438935976787092,3.819984470183936e-11,0.0030438935594788645,0.003043893635878554,0.0030438935228070136,0.003043893672550405,0.0030438934926291365,0.003043893702728282,0.05481703534621091,0.05481703534621091,0.029507094906397156,0.6229693112614012
3,8.77449263120569e-11,2.70044451415081e-10,-1.822995251030241e-10,3.577893777271379e-10,-4.4154219846150185e-10,6.170320510856156e-10,-6.548773150794158e-10,8.303671677035296e-10,0.02893046447194481,0.02893046447194481,0.026109510046345846,2.70044451415081e-10,0.026109509776301394,0.0261095103163903,0.02610950951705872,0.02610951057563297,0.026109509303723605,0.026109510788968088,0.02893046447194481,0.02893046447194481,0.019484169789526638,0.7454801649959397
4,1.9781943848444962e-10,6.11348648995819e-10,-4.135292105113694e-10,8.091680874802687e-10,-1.0004239135473556e-09,1.3960627905162549e-09,-1.4833893462540526e-09,1.879028223222952e-09,0.027990146330078486,0.027990146330078486,0.05159250385525732,6.11348648995819e-10,0.05159250324390867,0.05159250446660597,0.05159250265701397,0.05159250505350067,0.05159250217404854,0.051592505536466104,0.027990146330078486,0.027990146330078486,0.01940331084319935,0.7465002528966234
5,1.7565909609944304e-10,4.613677832982083e-10,-2.8570868719876526e-10,6.370268793976513e-10,-7.286217591650451e-10,1.0799399513639312e-09,-1.0931023079706299e-09,1.4444205001695158e-09,0.033890735711373195,0.033890735711373195,0.045071414371601316,4.613677832982083e-10,0.04507141391023353,0.0450714148329691,0.04507141346732046,0.045071415275882175,0.045071413102839915,0.04507141564036272,0.033890735711373195,0.033890735711373195,0.022829046963534137,0.7036902910048745
6,2.8693129903456185e-10,9.183461748786231e-10,-6.314148758440612e-10,1.205277473913185e-09,-1.5130272037275393e-09,2.086889801796663e-09,-2.2385206818816514e-09,2.812383279950775e-09,0.03612687144341882,0.03612687144341882,0.0848065180494248,9.183461748786231e-10,0.08480651713107862,0.08480651896777097,0.0848065162494663,0.0848065198493833,0.08480651552397281,0.08480652057487678,0.03612687144341882,0.03612687144341882,0.018735826944352874,0.754937724464081
7,6.058220303586257e-10,1.8722552375496894e-09,-1.2664332071910636e-09,2.4780772679083152e-09,-3.0637982352387655e-09,4.275442295956017e-09,-4.54287987290302e-09,5.754523933620271e-09,0.04424014587775315,0.04424014587775315,0.15800204305672558,1.8722552375496894e-09,0.15800204118447034,0.15800204492898082,0.1580020393871053,0.15800204672634585,0.15800203790802367,0.1580020482054275,0.04424014587775315,0.04424014587775315,0.019403310843199382,0.7465002528966229
8,5.129474729402142e-11,5.386153904817896e-11,-2.5667917541575406e-12,1.0515628634220037e-10,-5.4273869240409344e-11,1.5686336382845217e-10,-9.682448508847072e-11,1.9941397967651356e-10,0.06143764716283893,0.06049184547474921,0.005703645852696929,5.386153904817896e-11,0.00570364579883539,0.005703645906558468,0.005703645747128313,0.005703645958265545,0.005703645704577697,0.005703646000816161,0.06143764716283893,0.06049184547474921,0.057024890432174326,0.3417495062179736
9,4.745127171689035e-10,1.4144787030050933e-09,-9.399659858361897e-10,1.888991420173997e-09,-2.297865540721079e-09,3.246890975058886e-09,-3.4153037160951024e-09,4.364329150432909e-09,0.06188093920534196,0.053643320521992666,0.12597199122632252,1.4144787030050933e-09,0.12597198981184382,0.12597199264080122,0.12597198845394425,0.1259719939987008,0.12597198733650608,0.12597199511613896,0.06188093920534196,0.053643320521992666,0.02011597829585843,0.7375248968657893
10,5.19276026021677e-10,1.6047902036140318e-09,-1.0855141775923547e-09,2.124066229635709e-09,-2.626112773061825e-09,3.6646648251051792e-09,-3.893897033916911e-09,4.932449085960264e-09,0.07852468606867141,0.06167983948914043,0.13543032262005056,1.6047902036140318e-09,0.13543032101526034,0.13543032422484078,0.13543031947466175,0.13543032576543937,0.1354303182068775,0.1354303270332236,0.07852468606867141,0.06167983948914043,0.01940331084319915,0.7465002528966258
