Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
1,2.101831533897275e-10,6.495579395580594e-10,-4.3937478616833194e-10,8.597410929477869e-10,-1.0629504081440688e-09,1.483316714923524e-09,-1.5761011803949358e-09,1.9964674871743908e-09,,,0.05481703534621091,6.495579395580594e-10,0.054817034696652965,0.05481703599576885,0.05481703407307734,0.05481703661934447,0.05481703355992657,0.05481703713249524,,,0.019403310843199285,0.7465002528966241
2,-1.9138134621084912e-10,6.508388106192654e-10,-8.422201568301145e-10,4.594574644084163e-10,-1.4670254150246094e-09,1.084262722602911e-09,-1.981188075413829e-09,1.598425382992131e-09,0.05481703534621091,0.05481703534621091,-0.051773141748532196,6.508388106192654e-10,-0.05177314239937101,-0.05177314109769338,-0.051773143024176266,-0.05177314047288813,-0.05177314353833892,-0.05177313995872547,0.05481703534621091,0.05481703534621091,-0.017633407128689146,0.7689365492230231
3,6.894311913317839e-11,2.729081510931489e-10,-2.039650319599705e-10,3.4185127022632725e-10,-4.659568570093934e-10,6.038430952757503e-10,-6.815542963729809e-10,8.194405346393378e-10,0.0015219467988393555,0.0015219467988393555,0.023065616448667135,2.729081510931489e-10,0.023065616175758984,0.023065616721575286,0.02306561591376716,0.02306561698356711,0.02306561569816972,0.02306561719916455,0.0015219467988393555,0.0015219467988393555,0.01514963534129211,0.8007455528346157
4,1.1007451217239272e-10,3.461381528291075e-10,-2.360636406567148e-10,4.562126650015002e-10,-5.68356267372658e-10,7.885052917174435e-10,-8.418054081076528e-10,1.0619544324524382e-09,0.008703170015448616,0.008703170015448616,0.025482993808911475,3.461381528291075e-10,0.025482993462773322,0.025482994155049628,0.025482993130480695,0.025482994487342255,0.025482992857031556,0.025482994760791394,0.008703170015448616,0.008703170015448616,0.01906935140668936,0.7507180313363454
5,-2.2160342385006652e-11,1.6235921805242957e-10,-1.8451956043743622e-10,1.4019887566742292e-10,-3.4038440976776865e-10,2.960637249977553e-10,-4.68648192029188e-10,4.2432750725917467e-10,0.01289812596381433,0.01289812596381433,-0.006521089483656007,1.6235921805242957e-10,-0.006521089646015225,-0.0065210893212967885,-0.006521089801880074,-0.006521089165431939,-0.006521089930143856,-0.006521089037168157,0.01289812596381433,0.01289812596381433,-0.008185827077352801,0.8915330456463273
6,1.1127220293511885e-10,4.648982294849633e-10,-3.536260265498445e-10,5.761704324200822e-10,-7.999283268554093e-10,1.022472732725647e-09,-1.1671979281485303e-09,1.3897423340187681e-09,0.009014282874320264,0.009014282874320264,0.03973510367782348,4.648982294849633e-10,0.03973510321292525,0.03973510414272171,0.03973510276662295,0.03973510458902401,0.03973510239935335,0.03973510495629361,0.009014282874320264,0.009014282874320264,0.014353626901046808,0.8110125444171777
7,3.1889073132406466e-10,9.570164847857516e-10,-6.381257534616869e-10,1.2759072161098163e-09,-1.5568615788560083e-09,2.194643041504138e-09,-2.312904601836752e-09,2.9506860644848816e-09,0.014134419674904133,0.014134419674904133,0.07319552500730077,9.570164847857516e-10,0.07319552405028429,0.07319552596431725,0.07319552313154847,0.07319552688305307,0.07319552237550543,0.0731955276390961,0.014134419674904133,0.014134419674904133,0.019980822887318197,0.7392243578038307
8,-5.545272830646056e-10,1.8733633707162306e-09,-2.427890653780836e-09,1.318836087651625e-09,-4.2263194896684176e-09,3.117264923539206e-09,-5.70627655253424e-09,4.597221986405029e-09,0.017197501285085775,0.022571720436675078,-0.1522983972040286,1.8733633707162306e-09,-0.15229839907739198,-0.15229839533066522,-0.1522984008758208,-0.1522983935322364,-0.15229840235577788,-0.15229839205227932,0.017197501285085775,0.022571720436675078,-0.017750478581015014,0.7674462938079138
9,4.232179698748813e-10,1.4158540878716255e-09,-9.926361179967442e-10,1.8390720577465067e-09,-2.3518560423535045e-09,3.1982919821032674e-09,-3.4703807717720885e-09,4.316816711521851e-09,0.00044329204250304066,0.0007129557315871202,0.12026834537362562,1.4158540878716255e-09,0.12026834395777153,0.1202683467894797,0.1202683425985516,0.12026834814869963,0.12026834148002688,0.12026834926722435,0.00044329204250304066,0.0007129557315871202,0.01792476301795687,0.7652293334234205
10,4.47633088527772e-11,1.987976639711878e-10,-1.540343551184106e-10,2.43560972823965e-10,-3.448801125307509e-10,4.3440673023630525e-10,-5.019302670679893e-10,5.914568847735437e-10,0.016643746863329457,0.013996887914035841,0.009458331393727936,1.987976639711878e-10,0.009458331194930272,0.0094583315925256,0.009458331004084514,0.009458331783371358,0.00945833084703436,0.009458331940421512,0.016643746863329457,0.013996887914035841,0.013503579548298263,0.8220123039352482
11,3.873828830492934e-11,1.206987606799279e-10,-8.196047237499856e-11,1.5943704898485723e-10,-1.9783128262772936e-10,2.7530785923758803e-10,-2.931833035648724e-10,3.7065988017473107e-10,0.0139729697941322,0.01354303226200505,0.013198808026670606,1.206987606799279e-10,0.013198807905971846,0.013198808147369366,0.013198807790101035,0.013198808263240177,0.013198807694749013,0.013198808358592199,0.0139729697941322,0.01354303226200505,0.01924574699474982,0.7484892910160412
12,7.438789144518573e-10,2.1400641717053597e-09,-1.3961852572535024e-09,2.8839430861572173e-09,-3.450646862090648e-09,4.938404690994362e-09,-5.141297557737882e-09,6.629055386641596e-09,0.017259619379186634,0.01351173914970192,0.18627134517196148,2.1400641717053597e-09,0.1862713430318973,0.18627134731202566,0.1862713409774357,0.18627134936648726,0.186271339286785,0.18627135105713796,0.017259619379186634,0.01351173914970192,0.02084292660229485,0.7284062247280252
13,-5.106154748406697e-10,1.4148053769166868e-09,-1.9254208517573564e-09,9.041899020760172e-10,-3.283634013597376e-09,2.2624030639160367e-09,-4.401330261361558e-09,3.380099311680219e-09,0.0416823262948763,0.027908372984890215,-0.1285304603976532,1.4148053769166868e-09,-0.12853046181245859,-0.12853045898284782,-0.12853046317067174,-0.12853045762463466,-0.12853046428836798,-0.12853045650693842,0.0416823262948763,0.027908372984890215,-0.021640792148478662,0.718441848240881
14,3.92428303035552e-12,5.394881430825668e-11,-5.002453127790116e-11,5.78730973386122e-11,-1.0181539301382756e-10,1.096639590745386e-10,-1.4443495631735035e-10,1.5228352237806137e-10,0.008061328727383974,0.015874616570848415,0.007032750889468307,5.394881430825668e-11,0.007032750835519493,0.007032750943417121,0.007032750783728631,0.007032750995207983,0.007032750741109068,0.007032751037827546,0.008061328727383974,0.015874616570848415,0.004362665216930451,0.9420646418119023
15,6.866260324512303e-11,2.020771039763268e-10,-1.3341450073120377e-10,2.7073970722144985e-10,-3.2740852054847755e-10,4.647337270387236e-10,-4.870494326897757e-10,6.243746391800218e-10,0.034616520076300124,0.012198902381868215,0.019502058500537368,2.020771039763268e-10,0.019502058298460263,0.019502058702614473,0.019502058104466244,0.01950205889660849,0.019502057944825332,0.019502059056249403,0.034616520076300124,0.012198902381868215,0.020374670563756997,0.7342756310354276
16,-9.569389773977889e-12,7.643081568499695e-11,-8.600020545897483e-11,6.686142591101907e-11,-1.593737885165719e-10,1.4023500896861613e-10,-2.197541329077195e-10,2.0061535335976373e-10,0.017822138930785415,0.017681610093335107,-0.006874362325566993,7.643081568499695e-11,-0.0068743624019978085,-0.006874362249136177,-0.006874362475371392,-0.006874362175762594,-0.006874362535751736,-0.00687436211538225,0.017822138930785415,0.017681610093335107,-0.007508982768801951,0.9004531013873408
17,2.0683589456624848e-10,4.658999154468994e-10,-2.5906402088065086e-10,6.727358100131479e-10,-7.063279397096742e-10,1.1199997288421712e-09,-1.0743888729127248e-09,1.4880606620452218e-09,0.015100023310902927,0.015378534803009401,0.04776809449973838,4.658999154468994e-10,0.047768094033838464,0.047768094965638296,0.04776809358657454,0.047768095412902216,0.047768093218513615,0.047768095780963145,0.015100023310902927,0.015378534803009401,0.026616870108102663,0.6574246684124162
18,-1.702645090310454e-11,1.2097670543004074e-10,-1.3800315633314529e-10,1.039502545269362e-10,-2.541407935459844e-10,2.2008789173977532e-10,-3.4971239083571657e-10,3.1565948902950753e-10,0.02086157105641422,0.017092773317688395,0.0076205797492411055,1.2097670543004074e-10,0.0076205796282644,0.007620579870217811,0.007620579512126763,0.007620579986355448,0.007620579416555166,0.007620580081927045,0.02086157105641422,0.017092773317688395,-0.008440817444501628,0.8881760313091938
