Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0.0005035437456662814,0.0001471274463477055,0.0003564162993185759,0.0006506711920139869,0.0002151739508247786,0.0007919135405077841,9.894326821009128e-05,0.0009081442231224715,0.0,0.0,-0.0021477036858038572,0.0001471274463477055,-0.002294831132151563,-0.0020005762394561515,-0.00243607348064536,-0.0018593338909623544,-0.0025523041632600474,-0.001743103208347667,0.0,0.0,0.0613639774126574,0.0006285237078905091
11,0.0005035437456662814,0.0001471274463477055,0.0003564162993185759,0.0006506711920139869,0.0002151739508247786,0.0007919135405077841,9.894326821009128e-05,0.0009081442231224715,-0.00035795061430064285,-0.00021477036858038573,-0.0021477036858038572,0.0001471274463477055,-0.002294831132151563,-0.0020005762394561515,-0.00243607348064536,-0.0018593338909623544,-0.0025523041632600474,-0.001743103208347667,-0.00035795061430064285,-0.00021477036858038573,0.0613639774126574,0.0006285237078905091
12,0.0005035437456662814,0.0001471274463477055,0.0003564162993185759,0.0006506711920139869,0.0002151739508247786,0.0007919135405077841,9.894326821009128e-05,0.0009081442231224715,-0.0007159012286012857,-0.00039049157923706497,-0.0021477036858038572,0.0001471274463477055,-0.002294831132151563,-0.0020005762394561515,-0.00243607348064536,-0.0018593338909623544,-0.0025523041632600474,-0.001743103208347667,-0.0007159012286012857,-0.00039049157923706497,0.0613639774126574,0.0006285237078905091
13,0.000992666357442376,0.00025460732253601483,0.0007380590349063611,0.0012472736799783908,0.0004936360052717869,0.001491696709612965,0.00029249622046833516,0.0016928364944164167,-0.0010738518429019286,-0.0005369259214509643,-0.004134043370851399,0.00025460732253601483,-0.0043886506933874135,-0.003879436048315384,-0.0046330737230219875,-0.00363501301868081,-0.004834213507825439,-0.003433873233877358,-0.0010738518429019286,-0.0005369259214509643,0.069864911223192,9.871420499319968e-05
14,0.000992666357442376,0.00025460732253601483,0.0007380590349063611,0.0012472736799783908,0.0004936360052717869,0.001491696709612965,0.00029249622046833516,0.0016928364944164167,-0.0017628590713771616,-0.0008136272637125362,-0.004134043370851399,0.00025460732253601483,-0.0043886506933874135,-0.003879436048315384,-0.0046330737230219875,-0.00363501301868081,-0.004834213507825439,-0.003433873233877358,-0.0017628590713771616,-0.0008136272637125362,0.069864911223192,9.871420499319968e-05
15,0.000992666357442376,0.00025460732253601483,0.0007380590349063611,0.0012472736799783908,0.0004936360052717869,0.001491696709612965,0.00029249622046833516,0.0016928364944164167,-0.0024518662998523947,-0.0011316305999318746,-0.004134043370851399,0.00025460732253601483,-0.0043886506933874135,-0.003879436048315384,-0.0046330737230219875,-0.00363501301868081,-0.004834213507825439,-0.003433873233877358,-0.0024518662998523947,-0.0011316305999318746,0.069864911223192,9.871420499319968e-05
16,0.000992666357442376,0.00025460732253601483,0.0007380590349063611,0.0012472736799783908,0.0004936360052717869,0.001491696709612965,0.00029249622046833516,0.0016928364944164167,-0.0031408735283276284,-0.001449633936151213,-0.004134043370851399,0.00025460732253601483,-0.0043886506933874135,-0.003879436048315384,-0.0046330737230219875,-0.00363501301868081,-0.004834213507825439,-0.003433873233877358,-0.0031408735283276284,-0.001449633936151213,0.069864911223192,9.871420499319968e-05
17,0.000992666357442376,0.00025460732253601483,0.0007380590349063611,0.0012472736799783908,0.0004936360052717869,0.001491696709612965,0.00029249622046833516,0.0016928364944164167,-0.003471930142502218,-0.0017676372723705513,-0.004134043370851399,0.00025460732253601483,-0.0043886506933874135,-0.003879436048315384,-0.0046330737230219875,-0.00363501301868081,-0.004834213507825439,-0.003433873233877358,-0.003471930142502218,-0.0017676372723705513,0.069864911223192,9.871420499319968e-05
