Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
1,6.267194520365244e-09,9.605477279011082e-10,5.3066467924641355e-09,7.227742248266352e-09,4.384520973679072e-09,8.149868067051415e-09,3.625688268637196e-09,8.908700772093291e-09,,,-0.0003376034374502754,9.605477279011082e-10,-0.0003376043979980033,-0.0003376024769025475,-0.0003376053201238221,-0.0003376015547767287,-0.00033760607895652714,-0.00033760079594402366,,,0.11640746249621099,7.934377792971856e-11
2,6.267194520365244e-09,9.605477279011082e-10,5.3066467924641355e-09,7.227742248266352e-09,4.384520973679072e-09,8.149868067051415e-09,3.625688268637196e-09,8.908700772093291e-09,-0.0003376034374502754,-0.0003376034374502754,-0.0003376034374502754,9.605477279011082e-10,-0.0003376043979980033,-0.0003376024769025475,-0.0003376053201238221,-0.0003376015547767287,-0.00033760607895652714,-0.00033760079594402366,-0.0003376034374502754,-0.0003376034374502754,0.11640746249621099,7.934377792971856e-11
3,2.0776258058769528e-08,1.3155840082641706e-09,1.946067405050536e-08,2.2091842067033697e-08,1.8197713402571754e-08,2.3354802714967302e-08,1.7158402036043058e-08,2.4394114081495998e-08,-0.0003376034374502754,-0.0003376034374502754,-0.0015432656787105177,1.3155840082641706e-09,-0.001543266994294526,-0.0015432643631265095,-0.001543268257255174,-0.0015432631001658615,-0.0015432692965665405,-0.001543262060854495,-0.0003376034374502754,-0.0003376034374502754,0.2729166550702013,4.2737131887357254e-54
4,2.0776258058769528e-08,1.3155840082641706e-09,1.946067405050536e-08,2.2091842067033697e-08,1.8197713402571754e-08,2.3354802714967302e-08,1.7158402036043058e-08,2.4394114081495998e-08,-0.0007394908512036894,-0.0007394908512036894,-0.0015432656787105177,1.3155840082641706e-09,-0.001543266994294526,-0.0015432643631265095,-0.001543268257255174,-0.0015432631001658615,-0.0015432692965665405,-0.001543262060854495,-0.0007394908512036894,-0.0007394908512036894,0.2729166550702013,4.2737131887357254e-54
5,7.038073696734202e-08,1.7527677630274286e-09,6.86279692043146e-08,7.213350473036945e-08,6.694531215180826e-08,7.381616178287578e-08,6.556062561901659e-08,7.520084831566745e-08,-0.0009404345580803965,-0.0009404345580803965,-0.005800330956857455,1.7527677630274286e-09,-0.005800332709625218,-0.005800329204089691,-0.00580033439228227,-0.005800327521432639,-0.005800335776968803,-0.005800326136746106,-0.0009404345580803965,-0.0009404345580803965,0.5850012940058031,3.149155692143867e-284
6,7.038073696734202e-08,1.7527677630274286e-09,6.86279692043146e-08,7.213350473036945e-08,6.694531215180826e-08,7.381616178287578e-08,6.556062561901659e-08,7.520084831566745e-08,-0.001912413837835808,-0.001912413837835808,-0.005800330956857455,1.7527677630274286e-09,-0.005800332709625218,-0.005800329204089691,-0.00580033439228227,-0.005800327521432639,-0.005800335776968803,-0.005800326136746106,-0.001912413837835808,-0.001912413837835808,0.5850012940058031,3.149155692143867e-284
7,7.038073696734202e-08,1.7527677630274286e-09,6.86279692043146e-08,7.213350473036945e-08,6.694531215180826e-08,7.381616178287578e-08,6.556062561901659e-08,7.520084831566745e-08,-0.0025604000243394155,-0.0025604000243394155,-0.005800330956857455,1.7527677630274286e-09,-0.005800332709625218,-0.005800329204089691,-0.00580033439228227,-0.005800327521432639,-0.005800335776968803,-0.005800326136746106,-0.0025604000243394155,-0.0025604000243394155,0.5850012940058031,3.149155692143867e-284
8,7.22974818278061e-08,1.978953465045191e-09,7.031852836276091e-08,7.42764352928513e-08,6.841873303631753e-08,7.617623061929469e-08,6.685535979893183e-08,7.773960385668038e-08,-0.003470854610907279,-0.003023247300413421,-0.005679731756102277,1.978953465045191e-09,-0.005679733735055741,-0.005679729777148812,-0.005679735634851068,-0.005679727877353485,-0.005679737198224306,-0.005679726313980248,-0.003470854610907279,-0.003023247300413421,0.5486630504179207,2.5355098275957073e-243
9,7.22974818278061e-08,1.978953465045191e-09,7.031852836276091e-08,7.42764352928513e-08,6.841873303631753e-08,7.617623061929469e-08,6.685535979893183e-08,7.773960385668038e-08,-0.004361209330682612,-0.0033553078573745282,-0.005679731756102277,1.978953465045191e-09,-0.005679733735055741,-0.005679729777148812,-0.005679735634851068,-0.005679727877353485,-0.005679737198224306,-0.005679726313980248,-0.004361209330682612,-0.0033553078573745282,0.5486630504179207,2.5355098275957073e-243
10,9.192598581223469e-08,2.5710229408367548e-09,8.935496287139793e-08,9.449700875307144e-08,8.688678084819465e-08,9.696519077627472e-08,8.485567272493361e-08,9.899629889953576e-08,-0.0050506203435812394,-0.0036135771794553895,-0.007102112472110794,2.5710229408367548e-09,-0.007102115043133734,-0.007102109901087853,-0.007102117511315758,-0.00710210743290583,-0.0071021195424238815,-0.007102105401797706,-0.0050506203435812394,-0.0036135771794553895,0.5404114351413258,1.0172969057952013e-234
11,9.192598581223469e-08,2.5710229408367548e-09,8.935496287139793e-08,9.449700875307144e-08,8.688678084819465e-08,9.696519077627472e-08,8.485567272493361e-08,9.899629889953576e-08,-0.005977094809147952,-0.00396243070872093,-0.007102112472110794,2.5710229408367548e-09,-0.007102115043133734,-0.007102109901087853,-0.007102117511315758,-0.00710210743290583,-0.0071021195424238815,-0.007102105401797706,-0.005977094809147952,-0.00396243070872093,0.5404114351413258,1.0172969057952013e-234
12,9.192598581223469e-08,2.5710229408367548e-09,8.935496287139793e-08,9.449700875307144e-08,8.688678084819465e-08,9.696519077627472e-08,8.485567272493361e-08,9.899629889953576e-08,-0.006194058395023509,-0.004247856323574554,-0.007102112472110794,2.5710229408367548e-09,-0.007102115043133734,-0.007102109901087853,-0.007102117511315758,-0.00710210743290583,-0.0071021195424238815,-0.007102105401797706,-0.006194058395023509,-0.004247856323574554,0.5404114351413258,1.0172969057952013e-234
13,9.682654765905247e-08,3.583835320803761e-09,9.324271233824871e-08,1.0041038297985623e-07,8.980223043027709e-08,1.0385086488782784e-07,8.697100052684212e-08,1.0668209479126281e-07,-0.006411021980899066,-0.004485711002619241,-0.006650824743759741,3.583835320803761e-09,-0.0066508283275950614,-0.00665082115992442,-0.0066508317680769695,-0.006650817719442512,-0.006650834599306873,-0.006650814888212609,-0.006411021980899066,-0.004485711002619241,0.43662297441635134,1.5189064116922044e-144
14,9.682654765905247e-08,3.583835320803761e-09,9.324271233824871e-08,1.0041038297985623e-07,8.980223043027709e-08,1.0385086488782784e-07,8.697100052684212e-08,1.0668209479126281e-07,-0.006552770945382779,-0.004652258213476202,-0.006650824743759741,3.583835320803761e-09,-0.0066508283275950614,-0.00665082115992442,-0.0066508317680769695,-0.006650817719442512,-0.006650834599306873,-0.006650814888212609,-0.006552770945382779,-0.004652258213476202,0.43662297441635134,1.5189064116922044e-144
15,9.682654765905247e-08,3.583835320803761e-09,9.324271233824871e-08,1.0041038297985623e-07,8.980223043027709e-08,1.0385086488782784e-07,8.697100052684212e-08,1.0668209479126281e-07,-0.006714619776659023,-0.005137890621653854,-0.006650824743759741,3.583835320803761e-09,-0.0066508283275950614,-0.00665082115992442,-0.0066508317680769695,-0.006650817719442512,-0.006650834599306873,-0.006650814888212609,-0.006714619776659023,-0.005137890621653854,0.43662297441635134,1.5189064116922044e-144
16,9.902322871878019e-08,3.692389308242435e-09,9.533083941053775e-08,1.0271561802702262e-07,9.178614567462501e-08,1.0626031176293536e-07,8.886915812111349e-08,1.0917729931644689e-07,-0.006876468607935267,-0.0056235230298315045,-0.006559709278034084,3.692389308242435e-09,-0.006559712970423392,-0.006559705585644776,-0.006559716515117128,-0.00655970204095104,-0.006559719432104681,-0.006559699123963487,-0.006876468607935267,-0.0056235230298315045,0.4340096290139398,1.1836787261287496e-142
17,9.902322871878019e-08,3.692389308242435e-09,9.533083941053775e-08,1.0271561802702262e-07,9.178614567462501e-08,1.0626031176293536e-07,8.886915812111349e-08,1.0917729931644689e-07,-0.006786068075589149,-0.006009403306702548,-0.006559709278034084,3.692389308242435e-09,-0.006559712970423392,-0.006559705585644776,-0.006559716515117128,-0.00655970204095104,-0.006559719432104681,-0.006559699123963487,-0.006786068075589149,-0.006009403306702548,0.4340096290139398,1.1836787261287496e-142
18,9.902322871878019e-08,3.692389308242435e-09,9.533083941053775e-08,1.0271561802702262e-07,9.178614567462501e-08,1.0626031176293536e-07,8.886915812111349e-08,1.0917729931644689e-07,-0.006695667543243032,-0.00639528358357359,-0.006559709278034084,3.692389308242435e-09,-0.006559712970423392,-0.006559705585644776,-0.006559716515117128,-0.00655970204095104,-0.006559719432104681,-0.006559699123963487,-0.006695667543243032,-0.00639528358357359,0.4340096290139398,1.1836787261287496e-142
