Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
1,6.267194520365244e-09,9.605477279011082e-10,5.3066467924641355e-09,7.227742248266352e-09,4.384520973679072e-09,8.149868067051415e-09,3.625688268637196e-09,8.908700772093291e-09,,,-0.0003376034374502754,9.605477279011082e-10,-0.0003376043979980033,-0.0003376024769025475,-0.0003376053201238221,-0.0003376015547767287,-0.00033760607895652714,-0.00033760079594402366,,,0.11640746249621099,7.934377792971856e-11
2,-6.267194520365244e-09,9.605477279011082e-10,-7.227742248266352e-09,-5.3066467924641355e-09,-8.149868067051415e-09,-4.384520973679072e-09,-8.908700772093291e-09,-3.625688268637196e-09,-0.0003376034374502754,-0.0003376034374502754,0.0003376034374502754,9.605477279011082e-10,0.0003376024769025475,0.0003376043979980033,0.0003376015547767287,0.0003376053201238221,0.00033760079594402366,0.00033760607895652714,-0.0003376034374502754,-0.0003376034374502754,-0.11640746249621099,7.934377792971856e-11
3,1.450906353840431e-08,9.313414802689228e-10,1.3577722058135387e-08,1.5440405018673233e-08,1.2683634237077222e-08,1.6334492839731398e-08,1.1947874467664772e-08,1.7070252609143847e-08,0.0,0.0,-0.001205662241260245,9.313414802689228e-10,-0.0012056631726017253,-0.0012056613099187647,-0.0012056640666895464,-0.0012056604158309436,-0.0012056648024493157,-0.0012056596800711743,0.0,0.0,0.2694927154747883,9.665716439530908e-53
4,-1.450906353840431e-08,9.313414802689228e-10,-1.5440405018673233e-08,-1.3577722058135387e-08,-1.6334492839731398e-08,-1.2683634237077222e-08,-1.7070252609143847e-08,-1.1947874467664772e-08,-0.000401887413753415,-0.000401887413753415,0.001205662241260245,9.313414802689228e-10,0.0012056613099187647,0.0012056631726017253,0.0012056604158309436,0.0012056640666895464,0.0012056596800711743,0.0012056648024493157,-0.000401887413753415,-0.000401887413753415,-0.2694927154747883,9.665716439530908e-53
5,4.960447890857242e-08,1.4178042927731845e-09,4.8186674615799235e-08,5.10222832013456e-08,4.6825582494736973e-08,5.238337532240786e-08,4.570551710344616e-08,5.350344071369867e-08,0.0,0.0,-0.004257065278146929,1.4178042927731845e-09,-0.0042570666959512215,-0.004257063860342637,-0.004257068057043343,-0.004257062499250515,-0.004257069177108734,-0.004257061379185124,0.0,0.0,0.532118125487897,2.608249656922782e-226
6,-4.960447890857242e-08,1.4178042927731845e-09,-5.10222832013456e-08,-4.8186674615799235e-08,-5.238337532240786e-08,-4.6825582494736973e-08,-5.350344071369867e-08,-4.570551710344616e-08,-0.0008514130556293858,-0.0008514130556293858,0.004257065278146929,1.4178042927731845e-09,0.004257063860342637,0.0042570666959512215,0.004257062499250515,0.004257068057043343,0.004257061379185124,0.004257069177108734,-0.0008514130556293858,-0.0008514130556293858,-0.532118125487897,2.608249656922782e-226
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,1.9167448604641123e-09,9.665095683303284e-10,9.502352921337839e-10,2.883254428794441e-09,2.2386106536668604e-11,3.8111036143915564e-09,-7.411564524442911e-10,4.574646173372516e-09,5.626723957504589e-05,0.0,0.000120599200755175,9.665095683303284e-10,0.00012059823424560668,0.00012060016726474333,0.00012059730639642108,0.00012060109511392893,0.00012059654285386209,0.00012060185865648792,5.626723957504589e-05,0.0,0.03560179993364515,0.04743749558336058
9,-1.9167448604641123e-09,9.665095683303284e-10,-2.883254428794441e-09,-9.502352921337839e-10,-3.8111036143915564e-09,-2.2386106536668604e-11,-4.574646173372516e-09,7.411564524442911e-10,2.0099866792529166e-05,1.5074900094396876e-05,-0.000120599200755175,9.665095683303284e-10,-0.00012060016726474333,-0.00012059823424560668,-0.00012060109511392893,-0.00012059730639642108,-0.00012060185865648792,-0.00012059654285386209,2.0099866792529166e-05,1.5074900094396876e-05,-0.03560179993364515,0.04743749558336058
10,1.9628503984428494e-08,1.3212591344765332e-09,1.830724484995196e-08,2.094976311890503e-08,1.7038836080854488e-08,2.22181718880025e-08,1.5995041364618026e-08,2.3261966604238963e-08,0.0002009437068767075,0.0,-0.0014223807160085086,1.3212591344765332e-09,-0.001422382037267643,-0.0014223793947493741,-0.001422383305676412,-0.001422378126340605,-0.0014223843494711283,-0.0014223770825458888,0.0002009437068767075,0.0,0.25783977250904483,2.8092305919937165e-48
11,-1.9628503984428494e-08,1.3212591344765332e-09,-2.094976311890503e-08,-1.830724484995196e-08,-2.22181718880025e-08,-1.7038836080854488e-08,-2.3261966604238963e-08,-1.5995041364618026e-08,-0.00023706345266808477,-0.00014223807160085086,0.0014223807160085086,1.3212591344765332e-09,0.0014223793947493741,0.001422382037267643,0.001422378126340605,0.001422383305676412,0.0014223770825458888,0.0014223843494711283,-0.00023706345266808477,-0.00014223807160085086,-0.25783977250904483,2.8092305919937165e-48
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007095108796911549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007095108796911549,0.0,0.0,1.0
13,4.900561846817858e-09,2.160480269107518e-09,2.74008157771034e-09,7.061042115925376e-09,6.660205193671229e-10,9.135103174268593e-09,-1.040758893227817e-09,1.0841882586863532e-08,0.0,0.0,0.00045128772835104644,2.160480269107518e-09,0.0004512855678707773,0.0004512898888313156,0.000451283493809719,0.0004512919628923739,0.0004512817870303064,0.00045129366967178647,0.0,0.0,0.04071219944885144,0.023381015672082298
14,-4.900561846817858e-09,2.160480269107518e-09,-7.061042115925376e-09,-2.74008157771034e-09,-9.135103174268593e-09,-6.660205193671229e-10,-1.0841882586863532e-08,1.040758893227817e-09,7.521462139184107e-05,3.4714440642388185e-05,-0.00045128772835104644,2.160480269107518e-09,-0.0004512898888313156,-0.0004512855678707773,-0.0004512919628923739,-0.000451283493809719,-0.00045129366967178647,-0.0004512817870303064,7.521462139184107e-05,3.4714440642388185e-05,-0.04071219944885144,0.023381015672082298
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.009986679252916e-05,2.596949518848272e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.009986679252916e-05,2.596949518848272e-05,0.0,1.0
16,2.196681059727789e-09,9.66317326361364e-10,1.230363733366425e-09,3.162998386089153e-09,3.0269910005951556e-10,4.090663019396062e-09,-4.60691587765962e-10,4.8540537072215404e-09,0.0,0.0,9.111546572564743e-05,9.66317326361364e-10,9.111449940832106e-05,9.11164320429738e-05,9.111357174368776e-05,9.11173597076071e-05,9.111280835299994e-05,9.111812309829492e-05,0.0,0.0,0.040801361318125534,0.023079257021445504
