Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
1,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,,,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,,,0.03876076532390559,0.0308969806445726
2,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.0001026865170407596,0.0001026865170407596,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.0001026865170407596,0.0001026865170407596,0.03876076532390559,0.0308969806445726
3,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.0001026865170407596,0.0001026865170407596,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.0001026865170407596,0.0001026865170407596,0.03876076532390559,0.0308969806445726
4,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.0001026865170407596,0.0001026865170407596,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.0001026865170407596,0.0001026865170407596,0.03876076532390559,0.0308969806445726
5,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.0001026865170407596,0.0001026865170407596,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.0001026865170407596,0.0001026865170407596,0.03876076532390559,0.0308969806445726
6,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.00010268651704075961,0.00010268651704075961,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.00010268651704075961,0.00010268651704075961,0.03876076532390559,0.0308969806445726
7,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.00010268651704075961,0.00010268651704075961,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.00010268651704075961,0.00010268651704075961,0.03876076532390559,0.0308969806445726
8,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.00010268651704075961,0.00010268651704075963,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.00010268651704075961,0.00010268651704075963,0.03876076532390559,0.0308969806445726
9,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.00010268651704075961,0.0001026865170407596,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.00010268651704075961,0.0001026865170407596,0.03876076532390559,0.0308969806445726
10,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,0.00010268651704075961,0.0001026865170407596,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,0.00010268651704075961,0.0001026865170407596,0.03876076532390559,0.0308969806445726
