Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
1,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,,,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,,,0.03876076532390559,0.0308969806445726
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001026865170407596,0.0001026865170407596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001026865170407596,0.0001026865170407596,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13432585203798e-05,5.13432585203798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13432585203798e-05,5.13432585203798e-05,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.422883901358653e-05,3.422883901358653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.422883901358653e-05,3.422883901358653e-05,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56716292601899e-05,2.56716292601899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56716292601899e-05,2.56716292601899e-05,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0537303408151918e-05,2.0537303408151918e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0537303408151918e-05,2.0537303408151918e-05,0.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7114419506793265e-05,1.7114419506793265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7114419506793265e-05,1.7114419506793265e-05,0.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4669502434394228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4669502434394228e-05,0.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283581463009495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283581463009495e-05,0.0,1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1409613004528843e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1409613004528843e-05,0.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0268651704075959e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0268651704075959e-05,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.335137912796327e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.335137912796327e-06,0.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.557209753396633e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.557209753396633e-06,0.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8989628492892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8989628492892e-06,0.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
