Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
1,2.0868185839121064e-09,9.663958967900574e-10,1.120422687122049e-09,3.053214480702164e-09,1.9268262620359392e-10,3.980954541620619e-09,-5.707701322605515e-10,4.744407300084765e-09,,,0.0001026865170407596,9.663958967900574e-10,0.0001026855506448628,0.00010268748343665639,0.00010268462290480188,0.00010268841117671731,0.00010268385945204342,0.00010268917462947578,,,0.03876076532390559,0.0308969806445726
2,-2.0868185839121064e-09,9.663958967900574e-10,-3.053214480702164e-09,-1.120422687122049e-09,-3.980954541620619e-09,-1.9268262620359392e-10,-4.744407300084765e-09,5.707701322605515e-10,0.0001026865170407596,0.0001026865170407596,-0.0001026865170407596,9.663958967900574e-10,-0.00010268748343665639,-0.0001026855506448628,-0.00010268841117671731,-0.00010268462290480188,-0.00010268917462947578,-0.00010268385945204342,0.0001026865170407596,0.0001026865170407596,-0.03876076532390559,0.0308969806445726
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7114419506793265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7114419506793265e-05,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
